IBD_UC_epithelial_up_Smillie2019,Fetal_intestinal_Mustata2013,MYC_targets_Hallmark_V1_V2,Revival_revSC_Ayyaz2019,CBC_crypt_base_columnar
ENSG00000268104,ENSG00000118785,ENSG00000164163,ENSG00000123737,ENSG00000139292
ENSG00000137673,ENSG00000152661,ENSG00000143727,ENSG00000167842,ENSG00000102837
ENSG00000050730,ENSG00000118523,ENSG00000106305,ENSG00000078124,ENSG00000183734
ENSG00000186417,ENSG00000176788,ENSG00000177879,ENSG00000169474,ENSG00000112562
ENSG00000165376,ENSG00000184292,ENSG00000100823,ENSG00000115009,ENSG00000108375
ENSG00000187258,ENSG00000133661,ENSG00000154473,ENSG00000244094,ENSG00000168646
ENSG00000128714,ENSG00000172005,ENSG00000108561,ENSG00000117519,ENSG00000133216
ENSG00000198535,ENSG00000120885,ENSG00000084774,ENSG00000187908,ENSG00000127863
ENSG00000099769,ENSG00000101443,ENSG00000127022,ENSG00000137673,ENSG00000064651
ENSG00000101958,ENSG00000102854,ENSG00000122565,ENSG00000166068,
ENSG00000215182,ENSG00000101842,ENSG00000145386,ENSG00000117525,
ENSG00000198959,ENSG00000176014,ENSG00000166226,ENSG00000147400,
ENSG00000094755,ENSG00000182809,ENSG00000163468,ENSG00000167088,
ENSG00000140274,ENSG00000135046,ENSG00000115484,ENSG00000142089,
ENSG00000134824,ENSG00000187498,ENSG00000150753,ENSG00000168209,
ENSG00000170561,ENSG00000137033,ENSG00000135624,ENSG00000102218,
ENSG00000112299,ENSG00000169474,ENSG00000117399,ENSG00000164167,
ENSG00000151023,ENSG00000134871,ENSG00000093009,ENSG00000085377,
ENSG00000144452,ENSG00000170477,ENSG00000123374,ENSG00000069248,
ENSG00000134827,ENSG00000163453,ENSG00000135446,ENSG00000138182,
ENSG00000138798,ENSG00000170776,ENSG00000074201,ENSG00000108244,
ENSG00000206075,ENSG00000196542,ENSG00000169714,ENSG00000186063,
ENSG00000137261,ENSG00000249751,ENSG00000121022,ENSG00000173726,
ENSG00000189280,ENSG00000163207,ENSG00000178741,ENSG00000135480,
ENSG00000131203,ENSG00000169605,ENSG00000101811,ENSG00000131620,
ENSG00000171711,ENSG00000140945,ENSG00000171793,ENSG00000138101,
ENSG00000221947,ENSG00000158715,ENSG00000055130,ENSG00000010278,
ENSG00000185479,ENSG00000184349,ENSG00000179091,ENSG00000116906,
ENSG00000148965,ENSG00000265190,ENSG00000088205,ENSG00000111716,
ENSG00000206468,ENSG00000005187,ENSG00000165732,ENSG00000088986,
ENSG00000189433,ENSG00000168938,ENSG00000124795,ENSG00000187514,
ENSG00000249992,ENSG00000138772,ENSG00000109606,ENSG00000173933,
ENSG00000128918,ENSG00000131080,ENSG00000128951,ENSG00000170234,
ENSG00000115919,ENSG00000197956,ENSG00000114942,ENSG00000148735,
ENSG00000163220,ENSG00000115380,ENSG00000173674,ENSG00000102024,
ENSG00000272031,ENSG00000145358,ENSG00000134001,ENSG00000089356,
ENSG00000139515,ENSG00000162366,ENSG00000125977,ENSG00000172795,
ENSG00000187144,ENSG00000167656,ENSG00000106263,ENSG00000186832,
ENSG00000112183,ENSG00000162511,ENSG00000100353,ENSG00000110042,
ENSG00000070190,ENSG00000148735,ENSG00000104131,ENSG00000180182,
ENSG00000173432,ENSG00000171004,ENSG00000161960,ENSG00000184840,
ENSG00000069011,ENSG00000088836,ENSG00000151247,ENSG00000075420,
ENSG00000187045,ENSG00000109846,ENSG00000110321,ENSG00000120885,
ENSG00000134339,ENSG00000147010,ENSG00000106682,ENSG00000126016,
ENSG00000151883,ENSG00000203727,ENSG00000136628,ENSG00000007062,
ENSG00000144057,ENSG00000174307,ENSG00000100632,ENSG00000147050,
ENSG00000157110,ENSG00000135480,ENSG00000120705,ENSG00000029993,
ENSG00000163993,ENSG00000136689,ENSG00000075914,ENSG00000078401,
ENSG00000126583,ENSG00000110092,ENSG00000048828,ENSG00000151883,
ENSG00000166396,ENSG00000176920,ENSG00000105202,ENSG00000104361,
ENSG00000140254,ENSG00000011422,ENSG00000145907,ENSG00000005700,
ENSG00000169248,ENSG00000149043,ENSG00000124767,ENSG00000116406,
ENSG00000138759,ENSG00000088726,ENSG00000163938,ENSG00000119929,
ENSG00000140279,ENSG00000184489,ENSG00000125166,ENSG00000138035,
ENSG00000147689,ENSG00000176153,ENSG00000103342,ENSG00000118971,
ENSG00000088992,ENSG00000178597,ENSG00000164032,ENSG00000006451,
ENSG00000112186,ENSG00000163191,ENSG00000196591,ENSG00000184675,
ENSG00000128578,ENSG00000167653,ENSG00000111906,ENSG00000173320,
ENSG00000261857,ENSG00000125285,ENSG00000143321,ENSG00000253352,
ENSG00000101144,ENSG00000164687,ENSG00000135486,ENSG00000206075,
ENSG00000005001,ENSG00000182871,ENSG00000122566,ENSG00000173674,
ENSG00000143546,ENSG00000170458,ENSG00000170144,ENSG00000011422,
ENSG00000112981,ENSG00000100417,ENSG00000092199,ENSG00000100749,
ENSG00000175426,ENSG00000145632,ENSG00000138668,ENSG00000187079,
ENSG00000169896,ENSG00000169583,ENSG00000125944,ENSG00000013275,
ENSG00000172016,ENSG00000184454,ENSG00000153187,ENSG00000120129,
ENSG00000069482,ENSG00000124882,ENSG00000165704,ENSG00000059915,
