gene_set	gene_symbol	ensembl_gene_id	status
IBD_UC_epithelial_up_Smillie2019	SLC6A14	ENSG00000268104	OK
IBD_UC_epithelial_up_Smillie2019	MMP7	ENSG00000137673	OK
IBD_UC_epithelial_up_Smillie2019	TNIP3	ENSG00000050730	OK
IBD_UC_epithelial_up_Smillie2019	GLDN	ENSG00000186417	OK
IBD_UC_epithelial_up_Smillie2019	CLDN2	ENSG00000165376	OK
IBD_UC_epithelial_up_Smillie2019	NPSR1	ENSG00000187258	OK
IBD_UC_epithelial_up_Smillie2019	HOXD13	ENSG00000128714	OK
IBD_UC_epithelial_up_Smillie2019	C2CD4A	ENSG00000198535	OK
IBD_UC_epithelial_up_Smillie2019	IGFALS	ENSG00000099769	OK
IBD_UC_epithelial_up_Smillie2019	GLRA2	ENSG00000101958	OK
IBD_UC_epithelial_up_Smillie2019	MUC5AC	ENSG00000215182;ENSG00000291363	MULTI
IBD_UC_epithelial_up_Smillie2019	TGM2	ENSG00000198959	OK
IBD_UC_epithelial_up_Smillie2019	GABRP	ENSG00000094755	OK
IBD_UC_epithelial_up_Smillie2019	DUOXA2	ENSG00000140274	OK
IBD_UC_epithelial_up_Smillie2019	FADS2	ENSG00000134824	OK
IBD_UC_epithelial_up_Smillie2019	IRX2	ENSG00000170561	OK
IBD_UC_epithelial_up_Smillie2019	RP11-11N5.3		UNMAPPED
IBD_UC_epithelial_up_Smillie2019	VNN1	ENSG00000112299	OK
IBD_UC_epithelial_up_Smillie2019	ENKUR	ENSG00000151023	OK
IBD_UC_epithelial_up_Smillie2019	ABCA12	ENSG00000144452	OK
IBD_UC_epithelial_up_Smillie2019	TCN1	ENSG00000134827	OK
IBD_UC_epithelial_up_Smillie2019	EGF	ENSG00000138798	OK
IBD_UC_epithelial_up_Smillie2019	C6orf223		UNMAPPED
IBD_UC_epithelial_up_Smillie2019	SERPINB5	ENSG00000206075	OK
IBD_UC_epithelial_up_Smillie2019	SOGA2		UNMAPPED
IBD_UC_epithelial_up_Smillie2019	KIAA0319	ENSG00000137261	OK
IBD_UC_epithelial_up_Smillie2019	GJB5	ENSG00000189280	OK
IBD_UC_epithelial_up_Smillie2019	IDO1	ENSG00000131203	OK
IBD_UC_epithelial_up_Smillie2019	DEFB4A	ENSG00000171711;ENSG00000285181	MULTI
IBD_UC_epithelial_up_Smillie2019	XKR9	ENSG00000221947	OK
IBD_UC_epithelial_up_Smillie2019	KRT6B	ENSG00000185479	OK
