IBD_UC_epithelial_up_Smillie2019,Fetal_intestinal_Mustata2013,MYC_targets_Hallmark_V1_V2,Revival_revSC_Ayyaz2019,CBC_crypt_base_columnar
SLC6A14,SPP1,ABCE1,EXOSC9,LGR5
MMP7,GJA1,ACP1,MIS12,OLFM4
TNIP3,CCN2,AIMP2,ACER3,ASCL2
GLDN,BASP1,AP3S1,SPRR1A,SMOC2
CLDN2,TACSTD2,APEX1,CCL20,RNF43
NPSR1,CAR2,BUB3,SPRR2F,AXIN2
HOXD13,SFTPD,C1QBP,CNN3,EPHB2
C2CD4A,MAL,CAD,MROH3,TNFRSF19
IGFALS,CLU,CANX,DMBT1,SLC12A2
GLRA2,WFDC2,CBX3,MMP7,
MUC5AC,MSLN,CCNA2,SPRED1,
TGM2,VSIG1,CCT2,F3,
GABRP,TUBB6,CCT3,CETN2,
DUOXA2,CRIP2,CCT4,SNRPD1,
FADS2,ANXA1,CCT5,IFITM3,
IRX2,COL4A1,CCT7,DDIT4,
RP11-11N5.3,IL33,CDC20,RP2,
VNN1,SPRR1A,CDC45,UHRF1BP1L,
ENKUR,LOR,CDK2,LSM6,
ABCA12,COL4A2,CDK4,PREP,
TCN1,KRT4,CLNS1A,NUP133,
EGF,IGFBP7,CNBP,C1S1,
C6orf223,AKAP13,COPS5,ZKSCAN6,
SERPINB5,SPTSSB,COX5A,KIF20B,
SOGA2,ECSCR,CSTF2,KRT23,
KIAA0319,IVL,CTPS1,AIDA,
GJB5,GKN1,CUL1,TOMM20,
IDO1,AKR1B8,CYC1,KRT7,
DEFB4A,CDH13,DDX18,ANO1,
XKR9,SLC45A3,DDX21,DTNB,
KRT6B,EFNA5,DEK,CD9,
SAA4,ANXA8,DHX15,GNPAT,
UBD,ACSM3,DUT,LDHB,
GJB4,PPIC,EEF1B2,DYNLL1,
RP11-380P13.1,ANXA3,EIF1AX,PTMA,
TMEM158,EDA2R,EIF2S1,RBM4,
ALDH1A2,S100A6,EIF2S2,PWWP2A,
KYNU,LDH2,EIF3B,PLEKHS1,
S100A9,LY6C,EIF3D,PLS3,
RP11-211G23.2,EFEMP1,EIF3J,FXYD3,
ANKRD34A,DDIT4L,EIF4A1,CD24A,
PDX1,PDZK1IP1,EIF4E,DCP2,
SPATA21,LY6D,EIF4G2,KRT16,
RBM24,CUGBP2,EIF4H,DTX4,
AL133373.1,LAPTM5,EPRS1,MED14,
DAPP1,PLEKHS1,ERH,TMED9,
SAA1,DSCR6,ETF1,FNDC3B,
PITX1,HS6ST2,EXOSC7,CLU,
TMPRSS6,SLC4A11,FAM120A,AMOT,
SAA2,AI467606,FBL,PROM1,
RP11-161M6.2,CRYAB,G3BP1,KDM6A,
PARP8,SH3KBP1,GLO1,HMGB3,
AC021218.2,SAMD5,GNL3,IRGM1,
ST6GAL2,PHLDA3,GOT2,EDN1,
RBPMS,KRT7,GSPT1,PARP8,
S100P,IL1RN,H2AZ1,NIPAL2,
PRKCG,CCND1,HDAC2,IBTK,
SERPINB7,FUT2,HDDC2,EDEM3,
DUOXA1,SERPINB9B,HDGF,CUTC,
CXCL11,PLAUR,HNRNPA1,PNPT1,
FRAS1,PRTF,HNRNPA2B1,CCDC58,
AC016735.2,SYT8,HNRNPA3,CCND2,
DUOX2,TMEM40,HNRNPC,RALA,
FAM83A,PTP4A3,HNRNPD,AMER1,
C21orf88,GPX2,HNRNPR,STOX2,
TESC,PSAPL1,HNRNPU,TUG1,
CAP2,FER1L3,HPRT1,SERPINB5,
STRIP2,ZFP365,HSP90AB1,EIF1AX,
MIA,S100A11,HSPD1,PLAUR,
RP5-968D22.3,PSCA,HSPE1,VRK1,
BMP7,OAS1F,IARS1,TEAD1,
RP11-350J20.12,SOX21,IFRD1,PSMC4,
PRSS22,FABP5,ILF2,DUSP1,
S100A8,COL18A1,IMPDH2,PSD,
NME5,CD14,KARS1,DUSP10,
GRAMD2,PMM1,KPNA2,KLHDC2,
PCSK1,PLK2,KPNB1,SOCS5,
RP11-410E4.1,CLIC3,LDHA,LOR,
ITGAM,NCMAP,LSM2,GMDS,
REG3A,EREG,LSM7,SLC12A2,
RP11-88H9.2,ICAM1,MAD2L1,FBXO28,
GAL,FXYD3,MCM2,RPS4X,
FAIM2,CCNG1,MCM4,IIGP1,
FLNC,RBMS1,MCM5,NEK7,
EMB,BMP8B,MCM6,FAM3A,
NCS1,MGAT4C,MCM7,RBMX2,
RP11-382B18.4,RDH10,MRPL23,CD44,
TIMP1,ENAH,MRPL9,RBP1,
PRAC1,VNN1,MRPS18B,PLEKHG3,
IRS1,EPHA4,MYC,CDC42BPG,
AK8,PDLIM4,NAP1L1,TMED5,
IL23A,GGTA1,NCBP1,KRT18,
LINC01001,TNNI2,NCBP2,EEF1G,
CATSPERB,IER3,NDUFAB1,MRS2,
CHST3,GLIPR1,NHP2,RPS21,
RP11-305K5.1,IL17RE,NME1,PPIA,
NRAP,TMEM34,NOLC1,PUM2,
LL22NC03-75H12.2,S100A7A,NOP16,VANGL1,
FN1,MCPT2,NOP56,TEX30,
SLC16A7,SUOX,NPM1,FAF2,
HOXB13,PRSS22,ODC1,UBE2C,
C2,TSPAN6,ORC2,HK2,
REG4,ABCB1B,PA2G4,SDC1,
SDR16C5,TNS4,PABPC1,CALM2,
CXCL1,S100A14,PABPC4,SMIM15,
TFF1,LAMC2,PCBP1,CARMIL1,
CFB,JUB,PCNA,BAIAP2,
CCL20,ECM1,PGK1,RTN4,
PLA2G2A,SCEL,PHB1,PSCA,
APOL1,FAM198B,PHB2,CLDN4,
B3GNT7,OSBPL5,POLD2,DNAJC15,
LYZ,TLR4,POLE3,SETD6,
PPP1R12B,TIMP2,PPIA,TAOK1,
PI3,TREX2,PPM1G,IL1RN,
MUC12,GATM,PRDX3,TPM4,
SPINK5,ZIC4,PRDX4,PRC1,
MFSD4,ARL4C,PRPF31,TUBA1A,
CTSE,WWTR1,PRPS2,CACYBP,
HLA-DMA,AQP5,PSMA1,LAGE3,
FFAR4,CAPN2,PSMA2,RHAG,
ST3GAL4,CCP110,PSMA4,BRCC3,
ST6GALNAC6,EMP2,PSMA6,CTSH,
OLFM4,ABCC4,PSMA7,SAT1,
SLC40A1,MTAP6,PSMB2,TMSB4X,
SOD3,HYAL1,PSMB3,LSS,
LCN2,IFT57,PSMC4,PERP,
IL2RG,SERPINB6B,PSMC6,CFAP20,
B3GALT5,SLC25A48,PSMD1,SRP19,
S100A11,PSRC1,PSMD14,TMEM63B,
,SLC44A2,PSMD3,TNIP3,
,HSPA1B,PSMD7,NOP58,
,PPL,PSMD8,PSRC1,
,MGMT,PTGES3,RPL12,
,CD68,PWP1,GNL3,
,CXCL16,RACK1,ABCC3,
,P2RY6,RAD23B,GPSM2,
,DDAH1,RAN,CNOT4,
,PMEPA1,RANBP1,CDC25A,
,GCNT1,RFC4,ANXA1,
,CGNL1,RNPS1,PBDC1,
,EMP1,RPL14,SENP2,
,PRL2C3,RPL18,RPS29,
,BOK,RPL22,MDM2,
,ILDR1,RPL34,MATR3,
,PLF,RPL6,PJA2,
,ARHGEF4,RPLP0,LEPROTL1,
,ARHGEF3,RPS10,PFDN2,
,MSN,RPS2,PRKAA1,
,DCXR,RPS3,VWA5A,
,SPATA6,RPS5,SSR3,
,ARHGAP44,RPS6,HES1,
,RGS19,RRM1,CCT3,
,NOXO1,RRP9,RPL18A,
,VANGL1,RSL1D1,NSMCE2,
,S100A4,RUVBL2,RPS27L,
,TSPAN4,SERBP1,EEF1B2,
,GPR137B,SET,UBE2A,
,CCND2,SF3A1,FLRT3,
,TTC9,SF3B3,BASP1,
,PDRG1,SLC25A3,RACK1,
,VAMP5,SMARCC1,TOMM7,
,FAR1,SNRPA,HSP90AB1,
,SERPINB5,SNRPA1,COPS5,
,CTSH,SNRPB2,GBP8,
,FAM212B,SNRPD1,MRPL9,
,AKR1B10,SNRPD2,NME1,
,RAB15,SNRPD3,ARPC4,
,ZMAT3,SNRPG,RFC3,
,AHNAK,SRM,PPEF1,
,KRT18,SRPK1,JUP,
,DAPK1,SRSF1,ARID4A,
,FLOT2,SRSF2,NAXE,
,AVPI1,SRSF3,TPP2,
,RAB11FIP5,SRSF7,GAS5,
,TUBA1,SSB,AP1G1,
,FAM129B,SSBP1,ATF2,
,MFSD4,STARD7,HMGCS1,
,PAQR8,SYNCRIP,RPL36A,
,SERPINB11,TARDBP,TMPO,
,PRKAR1A,TCP1,RPS26,
,LAMA3,TFDP1,S100A11,
,TINAGL1,TOMM70,FOXP1,
,MCAM,TRA2B,RPL23,
,NFE2L3,TRIM28,RPS28,
,SH3BGRL2,TUFM,RIPK4,
,LMNA,TXNL4A,CAPZA2,
,SCMH1,TYMS,IRF6,
,PDLIM7,U2AF1,ARPC3,
,FOXQ1,UBA2,DDHD1,
,GCNT3,UBE2E1,RMI1,
,AKR1B3,UBE2L3,S100A6,
,TMEM43,USP1,RBBP7,
,MDM2,VBP1,DLG1,
,SLFN2,VDAC1,RPS24,
,GTSE1,VDAC3,CXCL10,
,GPC1,XPO1,PARP11,
,CAMSAP2,XPOT,NAPG,
,HSPB1,XRCC6,RPS15,
,EPS8L1,YWHAE,WSB1,
,CKAP2,YWHAQ,FERMT1,
,GOLGA2,BYSL,RPS17,
,ADAM9,DCTPP1,WDR26,
,PLAT,DUSP2,SOX4,
,WWC2,EXOSC5,DEGS1,
,PRKCDBP,FARSA,RPS11,
,INF2,GRWD1,SLBP,
,AIM1,HK2,DCTN6,
,MRAS,IMP4,TRIM7,
,TPM2,IPO4,PURB,
,CHRNB1,LAS1L,APLP2,
,ANXA5,MAP3K6,PLEKHH1,
,AK1,MPHOSPH10,FAM98A,
,VAX1,MRTO4,BNIP3L,
,TEAD4,MYBBP1A,RPS19,
,DYRK3,NDUFAF4,RANBP1,
,ITGB4,NIP7,BIRC3,
,BAX,NOC4L,CHRNB1,
,ARL1,NOP2,RPS23,
,RHOD,PES1,ATP6V1B2,
,FAM64A,PLK1,ZFP706,
,MSANTD3,PLK4,CSDE1,
,CD99L2,PPAN,BC064078,
,KLRG2,PPRC1,ARFGEF2,
,CLCF1,PRMT3,MKRN2OS,
,ID2,PUS1,PRELID3B,
,SCA10,RABEPK,PRPS2,
,SGCB,RCL1,ITGA6,
,AEN,RRP12,NOP2,
,ABCC5,SLC19A1,XPO5,
,FLNC,SLC29A2,CYP51,
,PIR,SORD,RPS25,
,CDKN2A,SUPV3L1,DDX18,
,FMNL2,TBRG4,LSM11,
,FBXW9,TCOF1,JADE1,
,CD44,TFB2M,HSP90AA1,
,SLC39A10,TMEM97,BRIX1,
,ENDOD1,UNG,SPTBN1,
,MBOAT1,UTP20,OLFR1318,
,KIFC3,WDR43,CTSD,
,CCDC92,WDR74,SIVA1,
,SUSD4,,CYLD,
,CNN2,,RPS3A3,
,GNAI1,,MARVELD3,
,RAB27B,,RWDD1,
,TSPAN2,,SOWAHB,
,USP46,,SOX9,
,P2RY2,,KRT19,
,CD55,,ABRACL,
,KRT23,,TMEM43,
