Dataset,Category,Subgroup,Score,Endpoint,N,N_events,Is_Testable,Effect_r,Wilcoxon_FDR_P,HR_perSD,HR_lower,HR_upper,Cox_FDR_P,C_index,KM_logrank_FDR_P
GSE39582,CMS,CMS1,Up_ssGSEA,OS,83,17,TRUE,-0.4,0.089,1.77,1.12,2.8,0.134,0.67,0.094
TCGA-COAD,CMS,CMS1,Up_ssGSEA,OS,81,14,TRUE,-0.34,0.387,1.67,1.05,2.65,0.272,0.65,0.654
GSE39582,CMS,CMS1,Up_ssGSEA,RFS,83,15,TRUE,-0.43,0.085,1.83,1.14,2.95,0.111,0.69,0.07
TCGA-COAD,CMS,CMS1,Up_ssGSEA,RFS,81,20,TRUE,-0.75,0.003,1.81,1.21,2.69,0.034,0.72,0.243
GSE39582,CMS,CMS1,Down_ssGSEA,OS,83,17,TRUE,0.08,0.812,0.91,0.57,1.45,0.765,0.53,0.476
TCGA-COAD,CMS,CMS1,Down_ssGSEA,OS,81,14,TRUE,-0.13,0.675,1.3,0.75,2.27,0.638,0.57,0.819
GSE39582,CMS,CMS1,Down_ssGSEA,RFS,83,15,TRUE,0.08,0.739,0.89,0.54,1.46,0.715,0.53,0.654
TCGA-COAD,CMS,CMS1,Down_ssGSEA,RFS,81,20,TRUE,-0.01,0.985,0.99,0.62,1.58,0.977,0.48,0.68
GSE39582,CMS,CMS1,Composite_ssGSEA,OS,83,17,TRUE,-0.37,0.089,1.63,1.01,2.61,0.144,0.65,0.094
TCGA-COAD,CMS,CMS1,Composite_ssGSEA,OS,81,14,TRUE,-0.26,0.387,1.41,0.85,2.34,0.477,0.61,0.654
GSE39582,CMS,CMS1,Composite_ssGSEA,RFS,83,15,TRUE,-0.4,0.085,1.71,1.04,2.81,0.156,0.67,0.07
TCGA-COAD,CMS,CMS1,Composite_ssGSEA,RFS,81,20,TRUE,-0.67,0.006,1.66,1.1,2.49,0.071,0.69,0.034
GSE39582,CMS,CMS2,Up_ssGSEA,OS,177,21,TRUE,0.24,0.316,0.69,0.45,1.05,0.358,0.61,0.263
TCGA-COAD,CMS,CMS2,Up_ssGSEA,OS,145,22,TRUE,-0.16,0.723,1.23,0.81,1.86,0.816,0.58,0.563
GSE39582,CMS,CMS2,Up_ssGSEA,RFS,175,41,TRUE,-0.06,0.897,1.15,0.83,1.59,0.905,0.52,0.94
TCGA-COAD,CMS,CMS2,Up_ssGSEA,RFS,145,33,TRUE,0.03,0.908,0.91,0.64,1.29,0.771,0.5,0.997
GSE39582,CMS,CMS2,Down_ssGSEA,OS,177,21,TRUE,0.09,0.636,0.91,0.58,1.42,0.79,0.55,0.762
TCGA-COAD,CMS,CMS2,Down_ssGSEA,OS,145,22,TRUE,-0.14,0.723,1.2,0.8,1.81,0.816,0.58,0.746
GSE39582,CMS,CMS2,Down_ssGSEA,RFS,175,41,TRUE,-0.06,0.897,1.09,0.8,1.48,0.905,0.52,0.94
TCGA-COAD,CMS,CMS2,Down_ssGSEA,RFS,145,33,TRUE,-0.02,0.908,1.11,0.8,1.55,0.771,0.55,0.989
GSE39582,CMS,CMS2,Composite_ssGSEA,OS,177,21,TRUE,0.18,0.316,0.79,0.51,1.21,0.499,0.58,0.805
TCGA-COAD,CMS,CMS2,Composite_ssGSEA,OS,145,22,TRUE,-0.06,0.811,1.06,0.7,1.6,0.947,0.52,0.908
GSE39582,CMS,CMS2,Composite_ssGSEA,RFS,175,41,TRUE,0.04,0.923,1.06,0.77,1.45,0.925,0.48,0.94
TCGA-COAD,CMS,CMS2,Composite_ssGSEA,RFS,145,33,TRUE,0.02,0.908,0.85,0.6,1.2,0.719,0.54,0.989
GSE39582,CMS,CMS3,Up_ssGSEA,OS,95,22,TRUE,-0.01,0.933,0.91,0.6,1.39,0.942,0.52,0.796
TCGA-COAD,CMS,CMS3,Up_ssGSEA,OS,70,7,TRUE,NA,NA,1.25,0.6,2.62,0.923,0.63,0.795
GSE39582,CMS,CMS3,Up_ssGSEA,RFS,92,22,TRUE,-0.02,0.957,0.88,0.57,1.36,0.639,0.5,0.89
