accession,title,organism,platform,n_samples,n_untreated,n_treated,paired_design_likely,release,pubmed_url,geo_url,relevance
GSE256188,Super-enhancers reorganization controls re-sensitization of oxaliplatin-resistant FBXW7-mutated colorectal cancer,Homo sapiens,24676,36,36,36,TRUE,2026/02/22,https://pubmed.ncbi.nlm.nih.gov/41174352/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE256188,7
GSE256187,Super-enhancers reorganization controls re-sensitization of oxaliplatin-resistant FBXW7-mutated colorectal cancer [ChIP-seq],Homo sapiens,11154,20,20,20,TRUE,2026/02/22,https://pubmed.ncbi.nlm.nih.gov/41174352/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE256187,7
GSE270840,Super-enhancers reorganization controls re-sensitization of oxaliplatin-resistant FBXW7-mutated colorectal cancer,Homo sapiens,11154,10,10,10,TRUE,2026/04/08,https://pubmed.ncbi.nlm.nih.gov/41174352/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270840,7
GSE160089,Pharmacological target dysfunction cell  cycle pathways induce vulnerabilities of chemotherapy in colorectal cancer,Homo sapiens,16791,8,2,8,TRUE,2023/10/24,NA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160089,7
GSE315569,Aptamer-modified 5-fluorouracil encapsulated metal-organic framework nanodrugs for enhanced therapy of colorectal cancer via peroxidative induced cell death,Homo sapiens,16791,8,0,4,FALSE,2026/01/06,NA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315569,7
GSE184125,"9-ING-41, a small molecule inhibitor of GSK-3β, potentiates the effects of chemotherapy in KRAS mutated colorectal cancer",Homo sapiens,21697,6,3,6,TRUE,2021/10/31,https://pubmed.ncbi.nlm.nih.gov/34955846/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184125,6
GSE190609,Peritoneal Metastases from Colorectal Cancer belong to Consensus Molecular Subtype 4 and are sensitized to oxaliplatin by inhibiting reducing capacity,Homo sapiens,18573,113,0,0,FALSE,2022/06/15,https://pubmed.ncbi.nlm.nih.gov/35194192/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190609,5
GSE282048,Enrichment of ornithine decarboxylase degron transduced colorectal cancer cells for extended application of cancer stem cell models [colorectal cancer],Homo sapiens,16791;24676,32,0,0,FALSE,2025/07/09,https://pubmed.ncbi.nlm.nih.gov/40595888/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282048,5
GSE312098,Overcoming ADC resistance in advanced colorectal cancer by dual targeting of TROP2 and PERK to suppress Wnt/β-catenin signaling [TROP2+GSK RNA-Seq],Homo sapiens,24676,12,3,12,TRUE,2025/12/18,NA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312098,5
GSE294639,PHGDH Drives 5-FU Chemoresistance in Colorectal Cancer through the Hedgehog signaling,Homo sapiens,24676,12,0,0,FALSE,2025/07/11,https://pubmed.ncbi.nlm.nih.gov/40640948/,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294639,5
GSE311016,Overcoming ADC resistance in advanced colorectal cancer by dual targeting of TROP2 and PERK to suppress Wnt/β-catenin signaling,Homo sapiens,24676,10,5,0,FALSE,2025/12/18,NA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE311016,5
