accession,entry_type,title,summary,organism,gds_type,n_samples,platform,pubmed_ids,release,flag_organoid,flag_5fu,flag_platinum,flag_irinotecan,flag_paired,flag_persister,flag_patient,relevance,geo_url,pubmed_url
GSE256188,GSE,Super-enhancers reorganization controls re-sensitization of oxaliplatin-resistant FBXW7-mutated colorectal cancer,"Epigenetic plasticity and large-scale chromatin remodeling characterize tumor evolution and the emergence of subclones resistant to conventional therapies. Catalytically inactive class IIa HDACs (HDAC4, HDAC5, HDAC7, HDAC9) act as acetyl-lysine readers that form the scaffold for the targeted recruitment of chromatin remodeling complexes, making them very attractive therapeutic targets in the field of oncology. In this study, we found that HDAC4 is proteasomal degraded in cancer cells impaired in DNA repair by homologous recombination. Genetic screening identified FBXW7 as the E3 ligase responsible for this degradation. FBXW7 loss-of-function mutations are frequently found in patients with colorectal cancer (CRC), and FBXW7 mutation status is associated with the development of resistance to oxaliplatin. Deletion of HDAC4 or its forced degradation with a PROTAC-based compound restored oxaliplatin sensitivity in FBXW7-mutated CRC cells, patient-derived organoids (PDOs) and xenografts, with no effect on DNA damage response activation or DNA platination. Mechanistically, forced removal of HDAC4 in FBXW7-mutant CRC cells and PDOs treated with oxaliplatin resulted in a deep rearrangement of the super-enhancer landscape, with a dramatic loss of super-enhancers found in oxalipaltin-resistant samples and restoration of certain super-enhancers found in oxaliplatin-sensitive cells. The disassembly of HDAC4 complexes achieved with Tasquinimod partially recapitulated the effects obtained with the PROTAC-based HDAC4 compound, demonstrating the importance of the epigenetic function of HDAC4 in supporting drug resistance. This study supports HDAC4 as a key mediator of oxaliplatin resistance in FBXW7-mutated CRC and highlights the remodeling of a well-defined repertoire of super-enhancers as part of the process of successful re-sensitization.",Homo sapiens,Expression profiling by high throughput sequencing,36,24676,41174352,2026/02/22,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,7,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE256188,https://pubmed.ncbi.nlm.nih.gov/41174352/
GSE256187,GSE,Super-enhancers reorganization controls re-sensitization of oxaliplatin-resistant FBXW7-mutated colorectal cancer [ChIP-seq],"Epigenetic plasticity and large-scale chromatin remodeling characterize tumor evolution and the emergence of subclones resistant to conventional therapies. Catalytically inactive class IIa HDACs (HDAC4, HDAC5, HDAC7, HDAC9) act as acetyl-lysine readers that form the scaffold for the targeted recruitment of chromatin remodeling complexes, making them very attractive therapeutic targets in the field of oncology. In this study, we found that HDAC4 is proteasomal degraded in cancer cells impaired in DNA repair by homologous recombination. Genetic screening identified FBXW7 as the E3 ligase responsible for this degradation. FBXW7 loss-of-function mutations are frequently found in patients with colorectal cancer (CRC), and FBXW7 mutation status is associated with the development of resistance to oxaliplatin. Deletion of HDAC4 or its forced degradation with a PROTAC-based compound restored oxaliplatin sensitivity in FBXW7-mutated CRC cells, patient-derived organoids (PDOs) and xenografts, with no effect on DNA damage response activation or DNA platination. Mechanistically, forced removal of HDAC4 in FBXW7-mutant CRC cells and PDOs treated with oxaliplatin resulted in a deep rearrangement of the super-enhancer landscape, with a dramatic loss of super-enhancers found in oxalipaltin-resistant samples and restoration of certain super-enhancers found in oxaliplatin-sensitive cells. The disassembly of HDAC4 complexes achieved with Tasquinimod partially recapitulated the effects obtained with the PROTAC-based HDAC4 compound, demonstrating the importance of the epigenetic function of HDAC4 in supporting drug resistance. This study supports HDAC4 as a key mediator of oxaliplatin resistance in FBXW7-mutated CRC and highlights the remodeling of a well-defined repertoire of super-enhancers as part of the process of successful re-sensitization.",Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing,20,11154,41174352,2026/02/22,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,7,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE256187,https://pubmed.ncbi.nlm.nih.gov/41174352/
GSE270840,GSE,Super-enhancers reorganization controls re-sensitization of oxaliplatin-resistant FBXW7-mutated colorectal cancer,"Epigenetic plasticity and large-scale chromatin remodeling characterize tumor evolution and the emergence of subclones resistant to conventional therapies. Catalytically inactive class IIa HDACs (HDAC4, HDAC5, HDAC7, HDAC9) act as acetyl-lysine readers that form the scaffold for the targeted recruitment of chromatin remodeling complexes, making them very attractive therapeutic targets in the field of oncology. In this study, we found that HDAC4 is proteasomal degraded in cancer cells impaired in DNA repair by homologous recombination. Genetic screening identified FBXW7 as the E3 ligase responsible for this degradation. FBXW7 loss-of-function (LOF) mutations are frequently found in patients with colorectal cancer (CRC), and FBXW7 mutation status is associated with the development of resistance to oxaliplatin. Deletion of HDAC4 or its forced degradation with a PROTAC-based compound restored Oxaliplatin sensitivity in FBXW7-mutated CRC cells, patient-derived organoids (PDOs) and xenografts, with no effect on DNA damage response activation or DNA platination. Mechanistically, forced removal of HDAC4 in FBXW7-mutant CRC cells and PDOs treated with Oxaliplatin resulted in a deep rearrangement of the super-enhancer landscape, with a dramatic loss of super-enhancers found in Oxaliplatin-resistant samples and restoration of defined super-enhancers found in Oxaliplatin-sensitive cells. The pharmacological disassembly of HDAC4 complexes partially recapitulated the effects obtained with the PROTAC-based HDAC4 compound, demonstrating the importance of the epigenetic function of HDAC4 in supporting drug resistance. This study supports HDAC4 as a key mediator of Oxaliplatin resistance in FBXW7-mutated CRC and highlights the remodeling of a well-defined repertoire of super-enhancers as part of the process of successful re-sensitization.",Homo sapiens,Genome binding/occupancy profiling by high throughput sequencing,10,11154,41174352,2026/04/08,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,7,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270840,https://pubmed.ncbi.nlm.nih.gov/41174352/
GSE160089,GSE,Pharmacological target dysfunction cell  cycle pathways induce vulnerabilities of chemotherapy in colorectal cancer,"Dysfunction of cell cycle genes can lead to mitosis disruption and chromosomal instability (CIN), which is blamed for poor prognosis in colorectal cancer (CRC) patients, no matter with chemotherapy or not. Discovery therapeutic targets to abnormal cell cycle pathways in CRC may help to improve current therapy. By genome-widely profiling of differential expressed genes in 54 pairs of human colorectal tumor with matched normal mucosa, we found a functional enrichment in PLK1 signaling. Tumors with enriched PLK1 signaling are accompanied with dysfunction pathways related to cell cycle. Total PLK1 and phosphorylated PLK1 protein expression are associated with tumor recurrence and poor overall survival in a cohort of CRC patients. Combining PLK1 inhibitor with oxaliplatin shows a synergize effect to suppress the growth of CRC cell lines, xenograft tumors, preclinical patient-derived organoid and patient-derived xenograft tumors. RNA-seq data reveals that the cell cycle pathways were activated in oxaliplatin group but inhibited after PLK1 inhibitor treatment.  CDC7 may be a key downstream effector of PLK1 induced oxaliplatin resistance and can be druggable. Further investigation showed that PLK1 inhibitor suppress the CDC7 expression via c-MYC transcriptional control. A strong positive correlation between PLK1 and CDC7 has been further confirmed in patients. Strikingly, functional studies confirm that combining CDC7 inhibitor with oxaliplatin can recapitulate the synergize effect in various CRC models, highlighting pharmacological target PLK1-MYC-CDC7 signaling as a potential therapeutic strategy for oxaliplatin based chemotherapy.",Homo sapiens,Expression profiling by high throughput sequencing,8,16791,NA,2023/10/24,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,7,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160089,NA
GSE315569,GSE,Aptamer-modified 5-fluorouracil encapsulated metal-organic framework nanodrugs for enhanced therapy of colorectal cancer via peroxidative induced cell death,"Colorectal cancer (CRC) remains one of the most devastating malignancies worldwide. 5-Fluorouracil (5-FU) is a widely used therapeutic agent in CRC treatment. Here, we report a PTK-7–targeted, MOF-based nanodrug (AFZC) comprising Sgc8 aptamer, 5-FU, and Cu-doped ZIF-8. AFZC was synthesized via stepwise loading and surface functionalization and rigorously characterized by SEM/TEM. Targeting specificity was confirmed in PTK-7–positive colorectal cancer cells: Cy5-Sgc8 showed strong internalization in CRC cells but negligible uptake in normal epithelial cells. Functionally, AFZC suppressed proliferation and lowered 5-FU IC₅₀ across multiple CRC lines, with enhanced apoptosis versus 5-FU alone. Patient-derived organoids demonstrated greater growth inhibition with AFZC than with 5-FU. Transcriptomic profiling of AFZC-treated CRC cells highlighted pro-apoptotic remodeling with upregulation of NECTIN4 and NCF2, and concordant increases by Western blot alongside caspase cleavage. In vivo, AFZC achieved superior tumor control over 5-FU or ZIF-8 in CRC xenografts and a PDX model. No toxicity was found in histopathology of major organs or in liver/renal function markers at the treatment dosage. Collectively, AFZC couples selective PTK-7 targeting, catalytic activity, and sustained drug release to potentiate 5-FU efficacy with a favorable toxicity profile, supporting its translational promise in CRC.",Homo sapiens,Expression profiling by high throughput sequencing,8,16791,NA,2026/01/06,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,7,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315569,NA
GSE184125,GSE,"9-ING-41, a small molecule inhibitor of GSK-3β, potentiates the effects of chemotherapy in KRAS mutated colorectal cancer","Despite the prevalence of KRAS mutations in colorectal cancer, there is no K-Ras targeted therapies for these tumors and available treatment options are limited for metastatic disease. GSK-3β has been demonstrated to be a critically important kinase for survival and proliferation of K-Ras-depended pancreatic cancer cells. In this study we tested 9-ING-41, a small molecule inhibitor of GSK-3β, in patient-derived tumor organoid models of colorectal cancer. We demonstrated that addition of 9-ING-41 to the standard of care drugs 5-FU and oxaliplatin could significantly enhance inhibition of the growth of colorectal cancer cells harboring KRAS mutations. The results of the transcriptomic analysis support our findings of cell cycle arrest and DNA repair deficiency in 9-ING-41-treated colorectal cancer cells. Moreover, we found substantial similarity in the changes of transcriptomic profile after inhibition of GSK-3β and suppression of STK33, another critically important kinase for K-Ras-dependent cells. Overall, the results of this study provide a rationale for the inclusion of patients with mutant KRAS colorectal cancer in clinical studies of 9-ING-41 and other GSK-3 inhibitors.",Homo sapiens,Expression profiling by high throughput sequencing,6,21697,34955846,2021/10/31,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,6,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184125,https://pubmed.ncbi.nlm.nih.gov/34955846/
GSE190609,GSE,Peritoneal Metastases from Colorectal Cancer belong to Consensus Molecular Subtype 4 and are sensitized to oxaliplatin by inhibiting reducing capacity,"Background: Peritoneal metastases (PM) in colorectal cancer (CRC) are associated with therapy resistance and poor survival. Oxaliplatin monotherapy is widely applied in the intraperitoneal treatment of PM, but fails to yield clinical benefit. We aimed to identify the mechanism(s) underlying PM resistance to oxaliplatin and to develop strategies overcoming such resistance. Experimental design:  We generated a biobank consisting of 35 primary tumor regions and 59 paired PM from 12 patients. All samples were analyzed by RNA sequencing. We also generated a series of PM-derived organoid (PMDO) cultures and used these to design and test strategies to overcome resistance to oxaliplatin Results: PM displayed various hallmarks of aggressive CRC biology. The vast majority of PM and paired primary tumors belonged to the Consensus Molecular Subtype 4 (CMS4). PMDO cultures were resistant to oxaliplatin and expressed high levels of glutamate-cysteine ligase (GCLC) causing detoxification of oxaliplatin through glutathione synthesis. Genetic or pharmacological targeting of GCLC sensitized PMDOs to a 1-hour exposure to oxaliplatin, through increased platinum-DNA adduct formation Conclusions: These results link oxaliplatin resistance of colorectal PM to their CMS4 status and high reducing capacity. Inhibiting the reducing capacity of PM may be an effective strategy to overcome PM resistance to oxaliplatin",Homo sapiens,Expression profiling by high throughput sequencing,113,18573,35194192,2022/06/15,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190609,https://pubmed.ncbi.nlm.nih.gov/35194192/
GSE282048,GSE,Enrichment of ornithine decarboxylase degron transduced colorectal cancer cells for extended application of cancer stem cell models [colorectal cancer],"Cancer stem cells (CSCs) are present in small quantities in tumor populations. To permit various analyses of CSCs, we attempted to enrich and expand ornithine decarboxylase (ODC) degron-transduced colorectal cancer (CRC) cells, which retain low proteasome activity. ZsGreen fluorescence-positive (ZsGreen+) cells were collected by sorting the ODC degron-transduced HCT116, DLD1, and SW480 cells, which were defined as enriched ZsGreen+ cells. ZsGreen+ cells still maintained CSC properties. These cells had higher stem cell marker expression and increased resistance to chemotherapy with 5-fluorouracil and oxaliplatin. ZsGreen+ HCT116 and DLD1 cells had greater sphere-forming ability and enhanced tumorigenicity compared to ZsGreen- control cells. Time-lapse microscopy showed that a single enriched ZsGreen+ HCT116 cell had asymmetric cell division. Thus, model CSCs were acquired in sufficient quantity. Using these cells, we performed a comprehensive microRNA analysis; miR- 491-3p was a candidate to suppress cancer stemness. Finally, we found that up- regulated genes in the enriched HCT116 ZsGreen+ cells correlated with those up- regulated in human clinical spheroid samples established from patient-derived xenografts derived from CRC tissue samples, further supporting the acquisition of enriched model CSCs. These cells would be useful in identifying novel CSC markers and developing medicine for anti-CSC therapy.",Homo sapiens,Expression profiling by high throughput sequencing,32,16791;24676,40595888,2025/07/09,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282048,https://pubmed.ncbi.nlm.nih.gov/40595888/
GSE312098,GSE,Overcoming ADC resistance in advanced colorectal cancer by dual targeting of TROP2 and PERK to suppress Wnt/β-catenin signaling [TROP2+GSK RNA-Seq],"Targeted therapy for advanced colorectal cancer (CRC) remains a significant clinical challenge. In this study, we systematically examined the anti-tumor efficacy and underlying mechanisms of IMMU132, an FDA-approved anti-TROP2 antibody conjugate linked to the topoisomerase I inhibitor SN-38, both as a standalone treatment and in combination with the PERK inhibitor GSK2606414 in TROP2-positive advanced CRC. We first established that TROP2 expression was markedly elevated in CRC cohorts and correlated with poor patient prognosis. In vitro experiments demonstrated that IMMU132 inhibited CRC cell proliferation and viability in a dose-dependent manner. In patient-derived xenograft (PDX) models, IMMU132 monotherapy significantly inhibited tumor growth. Mechanistically, transcriptomic analysis indicated that PERK, a key factor in endoplasmic reticulum stress (ERS), may serve as a critical synergistic target for IMMU132’s anti-tumour activity. Subsequent screening of various ERS inhibitors revealed that the specific PERK inhibitor GSK2606414 significantly enhanced the effects of IMMU132. In diverse experimental models, including cell lines, organoids, and PDX models, combination therapy exhibited superior anti-tumor effects compared to monotherapy, highlighting a pronounced synergistic effect. Furthermore, transcriptomic analysis showed that combination therapy notably inhibited the Wnt/β-catenin signaling pathway. Gene set enrichment analysis confirmed significant upregulation of Wnt pathway-related genes, while Western blot analysis showed downregulation of key molecules in the Wnt pathway, including β-catenin, GSK3B, JUN, and WNT2B, following combination therapy. These findings suggest that the synergistic anti-tumour effects of IMMU132 and GSK2606414 may arise from their dual modulation of ERS and Wnt signalling pathways, offering novel insights for targeted therapy in advanced CRC and informing strategies for combining antibody-drug conjugates (ADCs).",Homo sapiens,Expression profiling by high throughput sequencing,12,24676,NA,2025/12/18,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312098,NA
GSE294639,GSE,PHGDH Drives 5-FU Chemoresistance in Colorectal Cancer through the Hedgehog signaling,"This study investigates the role of phosphoglycerate dehydrogenase (PHGDH) in 5-fluorouracil (5-FU) chemoresistance in colorectal cancer (CRC). The researchers discovered that PHGDH expression is highly variable in tumor tissues and patient-derived CRC organoids, with elevated PHGDH levels correlating with reduced sensitivity to 5-FU treatment. Through transcriptomic analysis, PHGDH was found to promote activation of the Hedgehog (HH) signaling pathway, which plays a key role in chemoresistance. PHGDH silencing reduces HH activation and increases sensitivity to 5-FU, while PHGDH overexpression has the opposite effect. Significantly, combined treatment with 5-FU and HH pathway inhibitors (JC19 or GANT61) synergistically enhances chemosensitivity in high-PHGDH expressing CRC cells, organoids, and xenograft models. This dual-targeting approach effectively limits tumor growth in mice. The findings establish PHGDH as a potential biomarker for predicting response to 5-FU-based chemotherapy and suggest that targeting the PHGDH-HH axis may represent a promising therapeutic strategy to overcome chemoresistance in CRC.",Homo sapiens,Expression profiling by high throughput sequencing,12,24676,40640948,2025/07/11,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,5,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294639,https://pubmed.ncbi.nlm.nih.gov/40640948/
