"Dataset","Metric","Score","Model","HR","HR_lower","HR_upper","Raw_P","C_index","LRT_score_P","PH_P","Unadj_HR","Delta_logHR","Delta_logHR_pct","N","N_events","Is_Testable","FDR_P","Is_Significant"
"GSE39582","OS","Up_ssGSEA","Clinicopath",53295.1554965025,37.8523167744994,75038302.57782,0.00325775505612686,0.62715171932131,0.00361508487982345,0.5433253627989,255268.144705051,-1.56646910473886,-12.5820106027323,533,111,TRUE,0.0080965315457851,TRUE
"GSE39582","OS","Up_ssGSEA","CMS_adjusted",19843.7980404033,4.329606527273,90949678.2647208,0.0214098091886771,0.621355992368106,0.0219516159893863,0.562921479695816,2397032.33226688,-4.79409520595833,-32.6356664760844,515,106,TRUE,0.0321147137830157,TRUE
"GSE39582","OS","Up_ssGSEA","PDS_adjusted",15229.307062938,1.47221094600236,157539783.444106,0.0411548814769407,0.60137973961305,0.0406914721179095,0.523814889549204,976759.074017879,-4.16101835619625,-30.1698069410299,458,102,TRUE,0.123464644430822,FALSE
"GSE39582","OS","Down_ssGSEA","Clinicopath",0.00341061517334196,4.04309602490488e-08,287.70763268983,0.326288850468174,0.60868493488353,0.325786089011184,0.911018544020967,0.00311960110502173,0.0891875350711988,1.54569774897243,533,111,TRUE,0.326288850468174,FALSE
"GSE39582","OS","Down_ssGSEA","CMS_adjusted",0.000386626686017016,4.26071151668472e-09,35.0833877757609,0.177291630904421,0.613990327017793,0.174419780518091,0.243540800295249,0.000396932165860647,-0.02630580738355,-0.335886917288667,515,106,TRUE,0.177291630904421,FALSE
"GSE39582","OS","Down_ssGSEA","PDS_adjusted",0.135768298194883,1.24409830836566e-06,14816.3779910205,0.735833075192803,0.596218683541677,0.735781751709596,0.454482147239388,0.0933368848243091,0.374734377596495,15.8013101723822,458,102,TRUE,0.735833075192803,FALSE
"GSE39582","OS","Composite_ssGSEA","Clinicopath",2984.6521480415,10.6421551753015,837062.44628747,0.00539768769719007,0.628445832135081,0.00584377771809044,0.641522680216305,7852.54744299405,-0.967354787447192,-10.7860258346394,533,111,TRUE,0.0080965315457851,TRUE
"GSE39582","OS","Composite_ssGSEA","CMS_adjusted",2054.89592431419,4.39024387151583,961813.827054015,0.0150347164278347,0.621489106802148,0.0154708591268212,0.295952122999688,50892.045860929,-3.20948143985914,-29.6146963507797,515,106,TRUE,0.0321147137830157,TRUE
"GSE39582","OS","Composite_ssGSEA","PDS_adjusted",267.583140501053,0.364318344917102,196533.43862412,0.0968998023137824,0.598345349862545,0.0967752030959993,0.360645353042914,9038.38513878493,-3.5198054786815,-38.6399644828356,458,102,TRUE,0.145349703470674,FALSE
"GSE39582","RFS","Up_ssGSEA","Clinicopath",7720.36969261953,17.547486949634,3396731.87173742,0.00394550489121252,0.672591414944356,0.00442054028302697,0.193452229080629,46079.1539513671,-1.78649840525355,-16.6369819073078,528,151,TRUE,0.0118365146736376,TRUE
"GSE39582","RFS","Up_ssGSEA","CMS_adjusted",2804.61346908203,2.02142825806733,3891237.13867383,0.0315062759943635,0.613177379914157,0.0327926002246593,0.110386761922243,69357.556273177,-3.20800937054712,-28.7790493222755,510,144,TRUE,0.0739422573548002,FALSE
"GSE39582","RFS","Up_ssGSEA","PDS_adjusted",29359.6131400298,9.01465305651569,95620638.7897732,0.0126748481658769,0.591359021198862,0.0129901628158994,0.0617246772203621,186489.670336425,-1.8487558233839,-15.2334858913595,454,130,TRUE,0.0380245444976307,TRUE
