"Dataset","Metric","Score","Modifier","Raw_P","K","N","N_events","Is_Testable","FDR_P","Is_Significant"
"GSE39582","OS","Up_ssGSEA","CMS",0.00389522281205447,4,515,106,TRUE,0.0116856684361634,TRUE
"GSE39582","OS","Up_ssGSEA","PDS",0.0388904596894255,3,458,102,TRUE,0.0388904596894255,TRUE
"GSE39582","OS","Up_ssGSEA","Stage_bin",0.188366887981413,2,579,117,TRUE,0.243994696317469,FALSE
"GSE39582","OS","Up_ssGSEA","MSI_group",0.094465404416889,2,533,111,TRUE,0.178119510366619,FALSE
"GSE39582","OS","Down_ssGSEA","CMS",0.861096900342751,4,515,106,TRUE,0.861096900342751,FALSE
"GSE39582","OS","Down_ssGSEA","PDS",0.00370890950320515,3,458,102,TRUE,0.0111267285096154,TRUE
"GSE39582","OS","Down_ssGSEA","Stage_bin",0.243994696317469,2,579,117,TRUE,0.243994696317469,FALSE
"GSE39582","OS","Down_ssGSEA","MSI_group",0.461028058741279,2,533,111,TRUE,0.461028058741279,FALSE
"GSE39582","OS","Composite_ssGSEA","CMS",0.0201125854251255,4,515,106,TRUE,0.0301688781376882,TRUE
"GSE39582","OS","Composite_ssGSEA","PDS",0.0124169930884116,3,458,102,TRUE,0.0186254896326174,TRUE
"GSE39582","OS","Composite_ssGSEA","Stage_bin",0.113674413061277,2,579,117,TRUE,0.243994696317469,FALSE
"GSE39582","OS","Composite_ssGSEA","MSI_group",0.118746340244413,2,533,111,TRUE,0.178119510366619,FALSE
"GSE39582","RFS","Up_ssGSEA","CMS",0.170749084051264,4,510,144,TRUE,0.256123626076897,FALSE
"GSE39582","RFS","Up_ssGSEA","PDS",0.231406644700665,3,454,130,TRUE,0.347109967050997,FALSE
"GSE39582","RFS","Up_ssGSEA","Stage_bin",0.815449842426794,2,574,158,TRUE,0.815449842426794,FALSE
"GSE39582","RFS","Up_ssGSEA","MSI_group",0.0590497787356548,2,528,151,TRUE,0.0955326482189644,FALSE
"GSE39582","RFS","Down_ssGSEA","CMS",0.394353450505057,4,510,144,TRUE,0.394353450505057,FALSE
"GSE39582","RFS","Down_ssGSEA","PDS",0.106559921477833,3,454,130,TRUE,0.319679764433498,FALSE
"GSE39582","RFS","Down_ssGSEA","Stage_bin",0.254255906548976,2,574,158,TRUE,0.663052883419864,FALSE
"GSE39582","RFS","Down_ssGSEA","MSI_group",0.249830279489304,2,528,151,TRUE,0.249830279489304,FALSE
"GSE39582","RFS","Composite_ssGSEA","CMS",0.132411140694606,4,510,144,TRUE,0.256123626076897,FALSE
"GSE39582","RFS","Composite_ssGSEA","PDS",0.351342921406304,3,454,130,TRUE,0.351342921406304,FALSE
"GSE39582","RFS","Composite_ssGSEA","Stage_bin",0.442035255613242,2,574,158,TRUE,0.663052883419864,FALSE
"GSE39582","RFS","Composite_ssGSEA","MSI_group",0.0636884321459763,2,528,151,TRUE,0.0955326482189644,FALSE
"GSE39582 (treated)","OS","Up_ssGSEA","CMS",NA,NA,NA,NA,FALSE,NA,FALSE
"GSE39582 (treated)","OS","Up_ssGSEA","PDS",NA,NA,NA,NA,FALSE,NA,FALSE
"GSE39582 (treated)","OS","Up_ssGSEA","Stage_bin",0.427322089708674,2,240,50,TRUE,0.574336121517539,FALSE
"GSE39582 (treated)","OS","Up_ssGSEA","MSI_group",0.424872401790586,2,225,46,TRUE,0.637308602685879,FALSE
"GSE39582 (treated)","OS","Down_ssGSEA","CMS",NA,NA,NA,NA,FALSE,NA,FALSE
"GSE39582 (treated)","OS","Down_ssGSEA","PDS",NA,NA,NA,NA,FALSE,NA,FALSE
"GSE39582 (treated)","OS","Down_ssGSEA","Stage_bin",0.523861591706885,2,240,50,TRUE,0.574336121517539,FALSE
"GSE39582 (treated)","OS","Down_ssGSEA","MSI_group",0.848710962140777,2,225,46,TRUE,0.848710962140777,FALSE
"GSE39582 (treated)","OS","Composite_ssGSEA","CMS",NA,NA,NA,NA,FALSE,NA,FALSE
"GSE39582 (treated)","OS","Composite_ssGSEA","PDS",NA,NA,NA,NA,FALSE,NA,FALSE
"GSE39582 (treated)","OS","Composite_ssGSEA","Stage_bin",0.574336121517539,2,240,50,TRUE,0.574336121517539,FALSE
"GSE39582 (treated)","OS","Composite_ssGSEA","MSI_group",0.322190022847504,2,225,46,TRUE,0.637308602685879,FALSE
"GSE39582 (treated)","RFS","Up_ssGSEA","CMS",0.205713162523198,4,217,75,TRUE,0.293296652122487,FALSE
"GSE39582 (treated)","RFS","Up_ssGSEA","PDS",0.270121349172788,3,183,63,TRUE,0.63897907231188,FALSE
"GSE39582 (treated)","RFS","Up_ssGSEA","Stage_bin",0.68898458188839,2,239,81,TRUE,0.79016066422433,FALSE
"GSE39582 (treated)","RFS","Up_ssGSEA","MSI_group",0.317841173192643,2,224,75,TRUE,0.476761759788964,FALSE
"GSE39582 (treated)","RFS","Down_ssGSEA","CMS",0.130388781792007,4,217,75,TRUE,0.293296652122487,FALSE
"GSE39582 (treated)","RFS","Down_ssGSEA","PDS",0.593114385489165,3,183,63,TRUE,0.63897907231188,FALSE
"GSE39582 (treated)","RFS","Down_ssGSEA","Stage_bin",0.79016066422433,2,239,81,TRUE,0.79016066422433,FALSE
"GSE39582 (treated)","RFS","Down_ssGSEA","MSI_group",0.741783702060255,2,224,75,TRUE,0.741783702060255,FALSE
"GSE39582 (treated)","RFS","Composite_ssGSEA","CMS",0.293296652122487,4,217,75,TRUE,0.293296652122487,FALSE
"GSE39582 (treated)","RFS","Composite_ssGSEA","PDS",0.63897907231188,3,183,63,TRUE,0.63897907231188,FALSE
"GSE39582 (treated)","RFS","Composite_ssGSEA","Stage_bin",0.6861002584128,2,239,81,TRUE,0.79016066422433,FALSE
"GSE39582 (treated)","RFS","Composite_ssGSEA","MSI_group",0.158840815312153,2,224,75,TRUE,0.47652244593646,FALSE
"TCGA-COAD","OS","Up_ssGSEA","CMS",NA,NA,NA,NA,FALSE,NA,FALSE
"TCGA-COAD","OS","Up_ssGSEA","PDS",0.132482361644484,3,357,65,TRUE,0.200248584191324,FALSE
"TCGA-COAD","OS","Up_ssGSEA","Stage_bin",0.16064385399998,2,444,74,TRUE,0.434316529321938,FALSE
