Project,Score,Endpoint,N,N_events,Is_Testable,HR_perSD,HR_lower,HR_upper,C_index,Cox_FDR_P,Is_Significant
TCGA-BLCA,Up_ssGSEA,OS,405,160,TRUE,1.143,0.974,1.341,0.537,0.3123,FALSE
TCGA-BLCA,Up_ssGSEA,RFS,406,162,TRUE,1.05,0.896,1.23,0.517,0.7709,FALSE
TCGA-BLCA,Down_ssGSEA,OS,405,160,TRUE,1.178,1.009,1.375,0.554,0.1927,FALSE
TCGA-BLCA,Down_ssGSEA,RFS,406,162,TRUE,1.093,0.935,1.276,0.524,0.5164,FALSE
TCGA-BLCA,Composite_ssGSEA,OS,405,160,TRUE,1.023,0.877,1.194,0.504,0.9325,FALSE
TCGA-BLCA,Composite_ssGSEA,RFS,406,162,TRUE,0.992,0.85,1.159,0.501,0.9678,FALSE
TCGA-BRCA,Up_ssGSEA,OS,1093,69,TRUE,1.106,0.846,1.447,0.505,0.7,FALSE
TCGA-BRCA,Up_ssGSEA,RFS,1093,89,TRUE,1.102,0.872,1.392,0.53,0.6583,FALSE
TCGA-BRCA,Down_ssGSEA,OS,1093,69,TRUE,0.982,0.775,1.244,0.513,0.9576,FALSE
TCGA-BRCA,Down_ssGSEA,RFS,1093,89,TRUE,1.006,0.815,1.242,0.514,0.9735,FALSE
TCGA-BRCA,Composite_ssGSEA,OS,1093,69,TRUE,1.124,0.884,1.431,0.521,0.602,FALSE
TCGA-BRCA,Composite_ssGSEA,RFS,1093,89,TRUE,1.095,0.886,1.353,0.532,0.6566,FALSE
TCGA-CESC,Up_ssGSEA,OS,304,55,TRUE,1.004,0.764,1.32,0.509,0.9839,FALSE
TCGA-CESC,Up_ssGSEA,RFS,304,67,TRUE,0.968,0.757,1.239,0.506,0.9447,FALSE
TCGA-CESC,Down_ssGSEA,OS,304,55,TRUE,1.316,1.021,1.696,0.577,0.1913,FALSE
TCGA-CESC,Down_ssGSEA,RFS,304,67,TRUE,1.411,1.121,1.776,0.593,0.035,TRUE
TCGA-CESC,Composite_ssGSEA,OS,304,55,TRUE,0.847,0.652,1.101,0.531,0.4779,FALSE
TCGA-CESC,Composite_ssGSEA,RFS,304,67,TRUE,0.798,0.631,1.009,0.56,0.2505,FALSE
TCGA-COAD,Up_ssGSEA,OS,455,78,TRUE,1.353,1.082,1.693,0.588,0.0647,FALSE
TCGA-COAD,Up_ssGSEA,RFS,455,112,TRUE,1.337,1.107,1.615,0.584,0.0291,TRUE
TCGA-COAD,Down_ssGSEA,OS,455,78,TRUE,1.206,0.959,1.517,0.561,0.3123,FALSE
TCGA-COAD,Down_ssGSEA,RFS,455,112,TRUE,1.211,1,1.466,0.561,0.2298,FALSE
TCGA-COAD,Composite_ssGSEA,OS,455,78,TRUE,1.197,0.958,1.495,0.548,0.3123,FALSE
TCGA-COAD,Composite_ssGSEA,RFS,455,112,TRUE,1.177,0.977,1.419,0.534,0.3066,FALSE
TCGA-ESCA,Up_ssGSEA,OS,184,69,TRUE,0.857,0.679,1.082,0.579,0.4415,FALSE
TCGA-ESCA,Up_ssGSEA,RFS,184,84,TRUE,1.008,0.805,1.263,0.489,0.9724,FALSE
TCGA-ESCA,Down_ssGSEA,OS,184,69,TRUE,0.976,0.755,1.261,0.515,0.9511,FALSE
TCGA-ESCA,Down_ssGSEA,RFS,184,84,TRUE,1.058,0.834,1.343,0.501,0.8471,FALSE
TCGA-ESCA,Composite_ssGSEA,OS,184,69,TRUE,0.889,0.7,1.129,0.555,0.602,FALSE
TCGA-ESCA,Composite_ssGSEA,RFS,184,84,TRUE,0.975,0.786,1.21,0.501,0.9447,FALSE
TCGA-GBM,Up_ssGSEA,OS,283,209,TRUE,1.167,1.011,1.346,0.543,0.1913,FALSE
TCGA-GBM,Up_ssGSEA,RFS,283,220,TRUE,1.116,0.97,1.283,0.531,0.3185,FALSE
TCGA-GBM,Down_ssGSEA,OS,283,209,TRUE,1.117,0.97,1.287,0.538,0.3185,FALSE
TCGA-GBM,Down_ssGSEA,RFS,283,220,TRUE,1.006,0.879,1.15,0.509,0.9724,FALSE
TCGA-GBM,Composite_ssGSEA,OS,283,209,TRUE,1.08,0.955,1.222,0.533,0.4779,FALSE
TCGA-GBM,Composite_ssGSEA,RFS,283,220,TRUE,1.224,1.079,1.387,0.548,0.0198,TRUE
TCGA-HNSC,Up_ssGSEA,OS,519,183,TRUE,1.253,1.065,1.475,0.553,0.0608,FALSE
TCGA-HNSC,Up_ssGSEA,RFS,519,174,TRUE,1.14,0.974,1.334,0.544,0.3123,FALSE
TCGA-HNSC,Down_ssGSEA,OS,519,183,TRUE,1.091,0.943,1.263,0.532,0.5014,FALSE
TCGA-HNSC,Down_ssGSEA,RFS,519,174,TRUE,1.029,0.884,1.196,0.509,0.879,FALSE
TCGA-HNSC,Composite_ssGSEA,OS,519,183,TRUE,1.117,0.961,1.299,0.521,0.3535,FALSE
TCGA-HNSC,Composite_ssGSEA,RFS,519,174,TRUE,1.086,0.932,1.266,0.53,0.55,FALSE
TCGA-KIRC,Up_ssGSEA,OS,533,111,TRUE,1.001,0.834,1.201,0.508,0.9936,FALSE
TCGA-KIRC,Up_ssGSEA,RFS,531,122,TRUE,1.062,0.888,1.27,0.527,0.7397,FALSE
TCGA-KIRC,Down_ssGSEA,OS,533,111,TRUE,0.877,0.759,1.012,0.556,0.2982,FALSE
TCGA-KIRC,Down_ssGSEA,RFS,531,122,TRUE,1.063,0.88,1.284,0.513,0.7538,FALSE
TCGA-KIRC,Composite_ssGSEA,OS,533,111,TRUE,1.169,0.967,1.413,0.522,0.3123,FALSE
TCGA-KIRC,Composite_ssGSEA,RFS,531,122,TRUE,1.013,0.843,1.217,0.506,0.9628,FALSE
TCGA-KIRP,Up_ssGSEA,OS,289,27,TRUE,0.756,0.552,1.034,0.573,0.3066,FALSE
TCGA-KIRP,Up_ssGSEA,RFS,288,47,TRUE,0.779,0.61,0.994,0.587,0.2195,FALSE
TCGA-KIRP,Down_ssGSEA,OS,289,27,TRUE,1.564,0.997,2.453,0.628,0.2298,FALSE
TCGA-KIRP,Down_ssGSEA,RFS,288,47,TRUE,1.292,0.936,1.782,0.57,0.3123,FALSE
TCGA-KIRP,Composite_ssGSEA,OS,289,27,TRUE,0.51,0.342,0.76,0.671,0.0139,TRUE
TCGA-KIRP,Composite_ssGSEA,RFS,288,47,TRUE,0.607,0.45,0.819,0.639,0.0146,TRUE
TCGA-LGG,Up_ssGSEA,OS,514,75,TRUE,2,1.595,2.506,0.7,0,TRUE
TCGA-LGG,Up_ssGSEA,RFS,514,158,TRUE,1.418,1.21,1.662,0.609,5e-4,TRUE
TCGA-LGG,Down_ssGSEA,OS,514,75,TRUE,0.879,0.708,1.093,0.532,0.5032,FALSE
TCGA-LGG,Down_ssGSEA,RFS,514,158,TRUE,0.867,0.749,1.005,0.543,0.2502,FALSE
TCGA-LGG,Composite_ssGSEA,OS,514,75,TRUE,2.037,1.673,2.48,0.727,0,TRUE
TCGA-LGG,Composite_ssGSEA,RFS,514,158,TRUE,1.557,1.345,1.802,0.641,0,TRUE
TCGA-LIHC,Up_ssGSEA,OS,370,104,TRUE,0.845,0.688,1.036,0.538,0.3123,FALSE
TCGA-LIHC,Up_ssGSEA,RFS,370,166,TRUE,0.8,0.679,0.944,0.57,0.0647,FALSE
TCGA-LIHC,Down_ssGSEA,OS,370,104,TRUE,1.122,0.92,1.37,0.533,0.516,FALSE
TCGA-LIHC,Down_ssGSEA,RFS,370,166,TRUE,0.964,0.822,1.131,0.499,0.8472,FALSE
TCGA-LIHC,Composite_ssGSEA,OS,370,104,TRUE,0.761,0.615,0.943,0.559,0.0874,FALSE
TCGA-LIHC,Composite_ssGSEA,RFS,370,166,TRUE,0.837,0.707,0.99,0.558,0.1927,FALSE
TCGA-LUAD,Up_ssGSEA,OS,508,137,TRUE,1.152,0.966,1.374,0.536,0.3123,FALSE
TCGA-LUAD,Up_ssGSEA,RFS,508,184,TRUE,1.029,0.885,1.198,0.514,0.879,FALSE
TCGA-LUAD,Down_ssGSEA,OS,508,137,TRUE,1.379,1.15,1.653,0.591,0.0097,TRUE
TCGA-LUAD,Down_ssGSEA,RFS,508,184,TRUE,1.058,0.914,1.225,0.525,0.6951,FALSE
TCGA-LUAD,Composite_ssGSEA,OS,508,137,TRUE,0.957,0.807,1.135,0.52,0.8248,FALSE
TCGA-LUAD,Composite_ssGSEA,RFS,508,184,TRUE,0.992,0.854,1.153,0.504,0.9678,FALSE
TCGA-LUSC,Up_ssGSEA,OS,495,156,TRUE,1.288,1.081,1.535,0.575,0.0454,TRUE
TCGA-LUSC,Up_ssGSEA,RFS,496,121,TRUE,1.186,0.975,1.444,0.546,0.3066,FALSE
TCGA-LUSC,Down_ssGSEA,OS,495,156,TRUE,1.037,0.888,1.212,0.53,0.8471,FALSE
TCGA-LUSC,Down_ssGSEA,RFS,496,121,TRUE,1.091,0.909,1.309,0.524,0.615,FALSE
TCGA-LUSC,Composite_ssGSEA,OS,495,156,TRUE,1.21,1.03,1.42,0.541,0.1233,FALSE
TCGA-LUSC,Composite_ssGSEA,RFS,496,121,TRUE,1.106,0.919,1.332,0.535,0.55,FALSE
TCGA-OV,Up_ssGSEA,OS,424,133,TRUE,0.984,0.826,1.172,0.506,0.9511,FALSE
TCGA-OV,Up_ssGSEA,RFS,424,274,TRUE,1.052,0.933,1.185,0.502,0.6566,FALSE
TCGA-OV,Down_ssGSEA,OS,424,133,TRUE,1.006,0.848,1.193,0.502,0.9724,FALSE
TCGA-OV,Down_ssGSEA,RFS,424,274,TRUE,1.034,0.922,1.161,0.502,0.7843,FALSE
TCGA-OV,Composite_ssGSEA,OS,424,133,TRUE,0.981,0.828,1.162,0.509,0.9447,FALSE
TCGA-OV,Composite_ssGSEA,RFS,424,274,TRUE,1.027,0.912,1.156,0.499,0.8472,FALSE
TCGA-PAAD,Up_ssGSEA,OS,178,88,TRUE,1.633,1.263,2.111,0.616,0.0039,TRUE
TCGA-PAAD,Up_ssGSEA,RFS,178,100,TRUE,1.71,1.339,2.184,0.618,5e-4,TRUE
TCGA-PAAD,Down_ssGSEA,OS,178,88,TRUE,1.178,0.946,1.466,0.529,0.3442,FALSE
TCGA-PAAD,Down_ssGSEA,RFS,178,100,TRUE,1.178,0.968,1.435,0.536,0.3123,FALSE
TCGA-PAAD,Composite_ssGSEA,OS,178,88,TRUE,1.472,1.174,1.845,0.597,0.0134,TRUE
TCGA-PAAD,Composite_ssGSEA,RFS,178,100,TRUE,1.544,1.243,1.918,0.591,0.0021,TRUE
TCGA-PCPG,Up_ssGSEA,OS,179,5,TRUE,0.754,0.336,1.694,0.611,0.7303,FALSE
TCGA-PCPG,Up_ssGSEA,RFS,179,17,TRUE,0.676,0.438,1.043,0.609,0.3042,FALSE
TCGA-PCPG,Down_ssGSEA,OS,179,5,TRUE,0.853,0.359,2.022,0.509,0.879,FALSE
TCGA-PCPG,Down_ssGSEA,RFS,179,17,TRUE,1.286,0.8,2.067,0.604,0.5622,FALSE
TCGA-PCPG,Composite_ssGSEA,OS,179,5,TRUE,0.872,0.375,2.031,0.525,0.9127,FALSE
TCGA-PCPG,Composite_ssGSEA,RFS,179,17,TRUE,0.596,0.398,0.893,0.649,0.0874,FALSE
TCGA-PRAD,Up_ssGSEA,OS,497,5,TRUE,0.901,0.38,2.139,0.486,0.9447,FALSE
TCGA-PRAD,Up_ssGSEA,RFS,497,72,TRUE,0.831,0.664,1.039,0.557,0.3123,FALSE
TCGA-PRAD,Down_ssGSEA,OS,497,5,TRUE,0.924,0.383,2.23,0.542,0.9511,FALSE
TCGA-PRAD,Down_ssGSEA,RFS,497,72,TRUE,0.942,0.746,1.19,0.52,0.8248,FALSE
TCGA-PRAD,Composite_ssGSEA,OS,497,5,TRUE,0.946,0.386,2.317,0.458,0.9678,FALSE
TCGA-PRAD,Composite_ssGSEA,RFS,497,72,TRUE,0.849,0.671,1.075,0.544,0.3982,FALSE
TCGA-READ,Up_ssGSEA,OS,165,16,TRUE,1.504,0.946,2.391,0.666,0.3066,FALSE
TCGA-READ,Up_ssGSEA,RFS,165,31,TRUE,1.322,0.935,1.87,0.57,0.3123,FALSE
TCGA-READ,Down_ssGSEA,OS,165,16,TRUE,0.786,0.455,1.359,0.557,0.6432,FALSE
TCGA-READ,Down_ssGSEA,RFS,165,31,TRUE,1.029,0.724,1.464,0.459,0.9564,FALSE
TCGA-READ,Composite_ssGSEA,OS,165,16,TRUE,1.538,1.063,2.224,0.683,0.1315,FALSE
TCGA-READ,Composite_ssGSEA,RFS,165,31,TRUE,1.263,0.911,1.752,0.59,0.3761,FALSE
TCGA-SARC,Up_ssGSEA,OS,259,69,TRUE,0.794,0.631,1,0.573,0.2298,FALSE
TCGA-SARC,Up_ssGSEA,RFS,259,126,TRUE,0.916,0.774,1.085,0.532,0.5773,FALSE
TCGA-SARC,Down_ssGSEA,OS,259,69,TRUE,1.207,0.954,1.527,0.56,0.3123,FALSE
TCGA-SARC,Down_ssGSEA,RFS,259,126,TRUE,0.947,0.788,1.138,0.508,0.7843,FALSE
TCGA-SARC,Composite_ssGSEA,OS,259,69,TRUE,0.738,0.589,0.925,0.588,0.0647,FALSE
TCGA-SARC,Composite_ssGSEA,RFS,259,126,TRUE,0.965,0.812,1.147,0.518,0.8661,FALSE
TCGA-SKCM,Up_ssGSEA,OS,103,28,TRUE,1.036,0.734,1.462,0.549,0.9511,FALSE
TCGA-SKCM,Up_ssGSEA,RFS,103,36,TRUE,0.85,0.611,1.184,0.539,0.602,FALSE
TCGA-SKCM,Down_ssGSEA,OS,103,28,TRUE,0.868,0.596,1.265,0.516,0.7,FALSE
TCGA-SKCM,Down_ssGSEA,RFS,103,36,TRUE,0.75,0.54,1.042,0.586,0.3066,FALSE
TCGA-SKCM,Composite_ssGSEA,OS,103,28,TRUE,1.123,0.784,1.608,0.576,0.7538,FALSE
TCGA-SKCM,Composite_ssGSEA,RFS,103,36,TRUE,0.982,0.698,1.38,0.488,0.9678,FALSE
TCGA-STAD,Up_ssGSEA,OS,406,149,TRUE,0.936,0.807,1.086,0.535,0.6432,FALSE
TCGA-STAD,Up_ssGSEA,RFS,408,127,TRUE,0.934,0.791,1.102,0.497,0.6583,FALSE
TCGA-STAD,Down_ssGSEA,OS,406,149,TRUE,0.96,0.821,1.121,0.515,0.8248,FALSE
TCGA-STAD,Down_ssGSEA,RFS,408,127,TRUE,0.883,0.752,1.037,0.529,0.3208,FALSE
TCGA-STAD,Composite_ssGSEA,OS,406,149,TRUE,0.94,0.795,1.111,0.522,0.7017,FALSE
TCGA-STAD,Composite_ssGSEA,RFS,408,127,TRUE,1.026,0.854,1.234,0.53,0.9353,FALSE
TCGA-TGCT,Up_ssGSEA,OS,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
TCGA-TGCT,Up_ssGSEA,RFS,134,29,TRUE,1.296,0.926,1.813,0.598,0.3208,FALSE
TCGA-TGCT,Down_ssGSEA,OS,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
TCGA-TGCT,Down_ssGSEA,RFS,134,29,TRUE,1.232,0.882,1.722,0.588,0.4779,FALSE
TCGA-TGCT,Composite_ssGSEA,OS,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE
TCGA-TGCT,Composite_ssGSEA,RFS,134,29,TRUE,1.079,0.744,1.563,0.547,0.8661,FALSE
TCGA-THCA,Up_ssGSEA,OS,505,9,TRUE,1.158,0.602,2.226,0.541,0.8472,FALSE
TCGA-THCA,Up_ssGSEA,RFS,505,46,TRUE,0.874,0.656,1.164,0.515,0.6177,FALSE
TCGA-THCA,Down_ssGSEA,OS,505,9,TRUE,1.485,0.745,2.959,0.685,0.5164,FALSE
TCGA-THCA,Down_ssGSEA,RFS,505,46,TRUE,0.894,0.675,1.183,0.531,0.6757,FALSE
TCGA-THCA,Composite_ssGSEA,OS,505,9,TRUE,0.941,0.487,1.819,0.531,0.9511,FALSE
TCGA-THCA,Composite_ssGSEA,RFS,505,46,TRUE,0.927,0.69,1.246,0.498,0.8248,FALSE
