Cohort,Subset,Score,Endpoint,N,Events,Effect_size_r,HR_perSD,HR_lower,HR_upper,Wilcoxon_FDR,Logrank_FDR,C_index,Cox_FDR
GSE39582,Whole,Up,OS,579,117,0.20,1.44,1.19,1.73,0.009,0.064,0.586,0.001
GSE39582,Whole,Up,RFS,574,158,0.20,1.35,1.15,1.58,0.003,0.035,0.580,0.002
GSE39582,Whole,Composite,OS,579,117,0.18,1.36,1.14,1.64,0.013,0.068,0.578,0.003
GSE39582,Whole,Composite,RFS,574,158,0.14,1.24,1.06,1.45,0.026,0.037,0.561,0.019
GSE39582,Whole,Down,OS,579,117,0.06,0.94,0.78,1.13,0.427,0.509,0.524,0.656
GSE39582,Treated,Up,OS,240,50,0.32,1.59,1.22,2.08,0.005,0.013,0.648,0.003
GSE39582,Treated,Up,RFS,239,81,0.25,1.35,1.09,1.66,0.017,0.012,0.598,0.027
GSE39582,Treated,Composite,OS,240,50,0.28,1.52,1.16,1.99,0.007,0.015,0.627,0.007
GSE39582,Treated,Composite,RFS,239,81,0.14,1.21,0.98,1.50,0.186,0.099,0.561,0.172
TCGA-COAD,Whole,Up,OS,455,78,0.18,1.35,1.08,1.69,0.092,0.083,0.588,0.073
TCGA-COAD,Whole,Up,RFS,455,112,0.22,1.34,1.11,1.61,0.064,0.021,0.584,0.023
TCGA-COAD,Whole,Composite,OS,455,78,0.11,1.20,0.96,1.49,0.287,0.525,0.548,0.338
TCGA-COAD,Whole,Composite,RFS,455,112,0.18,1.18,0.98,1.42,0.102,0.511,0.534,0.195
TCGA-COAD,Treated,Up,OS,23,5,NA,NA,NA,NA,NA,0.700,0.800,0.267
TCGA-COAD,Treated,Up,RFS,23,13,NA,NA,NA,NA,NA,0.922,0.522,0.949
