"GSM","Liver","Tissue","Patient"
"GSM1228209",0.136011103820264,"Normal","AMC_10"
"GSM1228191",0.137460361473971,"Primary","AMC_10"
"GSM1228227",1.06444376002429,"Metastasis","AMC_10"
"GSM1228210",0.194229433655697,"Normal","AMC_12"
"GSM1228192",0.118906716590698,"Primary","AMC_12"
"GSM1228228",0.753221084401821,"Metastasis","AMC_12"
"GSM1228211",0.187140591281522,"Normal","AMC_13"
"GSM1228193",0.228000018247474,"Primary","AMC_13"
"GSM1228229",0.113277568711067,"Metastasis","AMC_13"
"GSM1228212",0.0911551588973677,"Normal","AMC_17"
"GSM1228194",0.159473220526963,"Primary","AMC_17"
"GSM1228230",0.685285005423158,"Metastasis","AMC_17"
"GSM1228213",0.159443341952756,"Normal","AMC_18"
"GSM1228195",0.115502006613687,"Primary","AMC_18"
"GSM1228231",0.698236231103331,"Metastasis","AMC_18"
"GSM1228214",0.163653444390573,"Normal","AMC_19"
"GSM1228196",0.163958897289955,"Primary","AMC_19"
"GSM1228232",0.534026778097309,"Metastasis","AMC_19"
"GSM1228202",0.19829806718,"Normal","AMC_2"
"GSM1228184",0.158954731730761,"Primary","AMC_2"
"GSM1228220",0.957378748762095,"Metastasis","AMC_2"
"GSM1228215",0.138776109874206,"Normal","AMC_20"
"GSM1228197",0.0925138533463831,"Primary","AMC_20"
"GSM1228233",0.803303312602973,"Metastasis","AMC_20"
"GSM1228216",0.161826320222127,"Normal","AMC_21"
"GSM1228198",0.135539063828623,"Primary","AMC_21"
"GSM1228234",0.980733743655318,"Metastasis","AMC_21"
"GSM1228217",0.178042187511501,"Normal","AMC_22"
"GSM1228199",0.0997682221591798,"Primary","AMC_22"
"GSM1228235",0.175791307943529,"Metastasis","AMC_22"
"GSM1228218",0.135998986941299,"Normal","AMC_23"
"GSM1228200",0.0999144994608929,"Primary","AMC_23"
"GSM1228236",0.910280888171583,"Metastasis","AMC_23"
"GSM1228219",0.215314440361196,"Normal","AMC_24"
"GSM1228201",0.136271176962953,"Primary","AMC_24"
"GSM1228237",0.905903021394846,"Metastasis","AMC_24"
"GSM1228203",0.140804363391137,"Normal","AMC_3"
"GSM1228185",0.100332415538665,"Primary","AMC_3"
"GSM1228221",0.136846615068754,"Metastasis","AMC_3"
"GSM1228204",0.157847468224176,"Normal","AMC_5"
"GSM1228186",0.167306779000768,"Primary","AMC_5"
"GSM1228222",0.609894365700423,"Metastasis","AMC_5"
"GSM1228205",0.12530189216624,"Normal","AMC_6"
"GSM1228187",0.091159614270299,"Primary","AMC_6"
"GSM1228223",0.744829824994761,"Metastasis","AMC_6"
"GSM1228206",0.193037481492547,"Normal","AMC_7"
"GSM1228188",0.128555992482866,"Primary","AMC_7"
"GSM1228224",0.90661982927223,"Metastasis","AMC_7"
"GSM1228207",0.142463347259397,"Normal","AMC_8"
"GSM1228189",0.154850884316904,"Primary","AMC_8"
"GSM1228225",0.764775825980068,"Metastasis","AMC_8"
"GSM1228208",0.143460130177492,"Normal","AMC_9"
"GSM1228190",0.0644437600242856,"Primary","AMC_9"
"GSM1228226",0.647078853965687,"Metastasis","AMC_9"
