Dataset,Subtype_Axis,Score,Group_A,Group_B,N_A,N_B,Median_A,Median_B,Effect_r,Raw_P,FDR_P,FDR_P_global,Is_Testable,Is_Significant
GSE39582,CMS,Up_ssGSEA,CMS1,CMS2,85,177,0.0986,0.0825,-0.422,3.3476260415507464e-8,6.695252083101493e-8,1.5064317186978358e-7,TRUE,TRUE
GSE39582,CMS,Up_ssGSEA,CMS1,CMS3,85,98,0.0986,0.0998,-0.017,0.8458108984242081,0.8458108984242081,0.8783420868251393,TRUE,FALSE
GSE39582,CMS,Up_ssGSEA,CMS1,CMS4,85,161,0.0986,0.1115,0.303,9.171179288570068e-5,1.100541514628408e-4,2.3583032456323032e-4,TRUE,TRUE
GSE39582,CMS,Up_ssGSEA,CMS2,CMS3,177,98,0.0825,0.0998,0.41,1.762555024620153e-8,5.287665073860458e-8,9.517797132948827e-8,TRUE,TRUE
GSE39582,CMS,Up_ssGSEA,CMS2,CMS4,177,161,0.0825,0.1115,0.7,1.1263692136775454e-28,6.758215282065272e-28,3.0411968769293726e-27,TRUE,TRUE
GSE39582,CMS,Up_ssGSEA,CMS3,CMS4,98,161,0.0998,0.1115,0.329,8.818970926614313e-6,1.322845638992147e-5,2.645691277984294e-5,TRUE,TRUE
GSE39582,CMS,Down_ssGSEA,CMS1,CMS2,85,177,0.3648,0.3691,0.088,0.25112114895208026,0.7840393082913663,0.3477062062413419,TRUE,FALSE
GSE39582,CMS,Down_ssGSEA,CMS1,CMS3,85,98,0.3648,0.3699,0.039,0.6533660902428052,0.7840393082913663,0.7350368515231559,TRUE,FALSE
GSE39582,CMS,Down_ssGSEA,CMS1,CMS4,85,161,0.3648,0.3666,0.071,0.3598211670377058,0.7840393082913663,0.47391080536673447,TRUE,FALSE
GSE39582,CMS,Down_ssGSEA,CMS2,CMS3,177,98,0.3691,0.3699,-0.034,0.6410343620532782,0.7840393082913663,0.7350368515231559,TRUE,FALSE
GSE39582,CMS,Down_ssGSEA,CMS2,CMS4,177,161,0.3691,0.3666,-0.008,0.9050736854209982,0.9050736854209982,0.9221505474100736,TRUE,FALSE
GSE39582,CMS,Down_ssGSEA,CMS3,CMS4,98,161,0.3699,0.3666,0.035,0.6338430163354482,0.7840393082913663,0.7350368515231559,TRUE,FALSE
GSE39582,CMS,Composite_ssGSEA,CMS1,CMS2,85,177,-0.2653,-0.287,-0.366,1.6612493295875573e-6,4.983747988762672e-6,5.276909635160476e-6,TRUE,TRUE
GSE39582,CMS,Composite_ssGSEA,CMS1,CMS3,85,98,-0.2653,-0.2731,-0.058,0.4992089773127404,0.4992089773127404,0.6126655630656359,TRUE,FALSE
GSE39582,CMS,Composite_ssGSEA,CMS1,CMS4,85,161,-0.2653,-0.259,0.173,0.025690699699982545,0.030828839639979053,0.04475154141287282,TRUE,TRUE
GSE39582,CMS,Composite_ssGSEA,CMS2,CMS3,177,98,-0.287,-0.2731,0.299,4.165208852550909e-5,8.330417705101817e-5,1.1837962001986793e-4,TRUE,TRUE
GSE39582,CMS,Composite_ssGSEA,CMS2,CMS4,177,161,-0.287,-0.259,0.562,4.680933200697562e-19,2.808559920418537e-18,5.055407856753367e-18,TRUE,TRUE
GSE39582,CMS,Composite_ssGSEA,CMS3,CMS4,98,161,-0.2731,-0.259,0.219,0.003113619637044347,0.0046704294555665205,0.007310237408712816,TRUE,TRUE
GSE39582,PDS,Up_ssGSEA,PDS1,PDS2,196,132,0.078,0.1168,0.775,1.2499808025540042e-32,3.7499424076620123e-32,6.749896333791623e-31,TRUE,TRUE
GSE39582,PDS,Up_ssGSEA,PDS1,PDS3,196,133,0.078,0.1025,0.618,1.9826281016161458e-21,2.9739421524242187e-21,2.676547937181797e-20,TRUE,TRUE
GSE39582,PDS,Up_ssGSEA,PDS2,PDS3,132,133,0.1168,0.1025,-0.353,6.635310602576216e-7,6.635310602576216e-7,2.3887118169274377e-6,TRUE,TRUE
GSE39582,PDS,Down_ssGSEA,PDS1,PDS2,196,132,0.3641,0.3623,-0.096,0.1407769235526972,0.1407769235526972,0.20005141768014864,TRUE,FALSE
GSE39582,PDS,Down_ssGSEA,PDS1,PDS3,196,133,0.3641,0.3771,0.341,1.487983758825787e-7,2.2319756382386807e-7,6.180855613584039e-7,TRUE,TRUE
GSE39582,PDS,Down_ssGSEA,PDS2,PDS3,132,133,0.3623,0.3771,0.404,1.344773833830585e-8,4.034321501491755e-8,8.06864300298351e-8,TRUE,TRUE
GSE39582,PDS,Composite_ssGSEA,PDS1,PDS2,196,132,-0.2892,-0.2447,0.677,2.5905727017482604e-25,7.771718105244781e-25,4.663030863146869e-24,TRUE,TRUE
GSE39582,PDS,Composite_ssGSEA,PDS1,PDS3,196,133,-0.2892,-0.2773,0.254,9.140918779074874e-5,9.140918779074874e-5,2.3583032456323032e-4,TRUE,TRUE
GSE39582,PDS,Composite_ssGSEA,PDS2,PDS3,132,133,-0.2447,-0.2773,-0.446,3.3552449935849826e-10,5.032867490377474e-10,2.264790370669863e-9,TRUE,TRUE
TCGA-COAD,CMS,Up_ssGSEA,CMS1,CMS2,81,146,0.9017,0.897,-0.215,0.007218306872354761,0.021506957970339198,0.014436613744709522,TRUE,TRUE
TCGA-COAD,CMS,Up_ssGSEA,CMS1,CMS3,81,70,0.9017,0.9052,-0.008,0.9330901733781258,0.9330901733781258,0.9330901733781258,TRUE,FALSE
TCGA-COAD,CMS,Up_ssGSEA,CMS1,CMS4,81,129,0.9017,0.9086,0.156,0.05694716461999595,0.06833659754399514,0.08542074692999393,TRUE,FALSE
TCGA-COAD,CMS,Up_ssGSEA,CMS2,CMS3,146,70,0.897,0.9052,0.215,0.010753478985169599,0.021506957970339198,0.02073885232854137,TRUE,TRUE
TCGA-COAD,CMS,Up_ssGSEA,CMS2,CMS4,146,129,0.897,0.9086,0.358,3.062948398043221e-7,1.8377690388259326e-6,1.1814229535309566e-6,TRUE,TRUE
TCGA-COAD,CMS,Up_ssGSEA,CMS3,CMS4,70,129,0.9052,0.9086,0.169,0.04995629209056269,0.06833659754399514,0.07707542208258243,TRUE,FALSE
TCGA-COAD,CMS,Down_ssGSEA,CMS1,CMS2,81,146,1.1451,1.1383,-0.181,0.023923949742547742,0.07136359611067125,0.04306310953658594,TRUE,FALSE
TCGA-COAD,CMS,Down_ssGSEA,CMS1,CMS3,81,70,1.1451,1.1453,0.032,0.7384063293174074,0.7384063293174074,0.7974788356628,TRUE,FALSE
TCGA-COAD,CMS,Down_ssGSEA,CMS1,CMS4,81,129,1.1451,1.1424,-0.041,0.619241305435912,0.7384063293174074,0.7350368515231559,TRUE,FALSE
TCGA-COAD,CMS,Down_ssGSEA,CMS2,CMS3,146,70,1.1383,1.1453,0.199,0.017828026080127023,0.07136359611067125,0.03319701408023652,TRUE,FALSE
TCGA-COAD,CMS,Down_ssGSEA,CMS2,CMS4,146,129,1.1383,1.1424,0.147,0.035681798055335626,0.07136359611067125,0.05838839681782194,TRUE,FALSE
TCGA-COAD,CMS,Down_ssGSEA,CMS3,CMS4,70,129,1.1453,1.1424,-0.064,0.4586402733500786,0.687960410025118,0.5896803514501011,TRUE,FALSE
TCGA-COAD,CMS,Composite_ssGSEA,CMS1,CMS2,81,146,-0.2388,-0.2423,-0.074,0.3582318075594785,0.5373477113392178,0.47391080536673447,TRUE,FALSE
TCGA-COAD,CMS,Composite_ssGSEA,CMS1,CMS3,81,70,-0.2388,-0.2414,-0.027,0.7752950316141098,0.7752950316141098,0.8209006217090575,TRUE,FALSE
TCGA-COAD,CMS,Composite_ssGSEA,CMS1,CMS4,81,129,-0.2388,-0.2333,0.15,0.06844563356311574,0.13689126712623148,0.09989362736238513,TRUE,FALSE
TCGA-COAD,CMS,Composite_ssGSEA,CMS2,CMS3,146,70,-0.2423,-0.2414,0.058,0.4947830062040219,0.5937396074448262,0.6126655630656359,TRUE,FALSE
TCGA-COAD,CMS,Composite_ssGSEA,CMS2,CMS4,146,129,-0.2423,-0.2333,0.241,5.706762597664597e-4,0.0034240575585987587,0.0014007508194267648,TRUE,TRUE
TCGA-COAD,CMS,Composite_ssGSEA,CMS3,CMS4,70,129,-0.2414,-0.2333,0.177,0.0390702830952764,0.1172108492858292,0.06205280256308605,TRUE,FALSE
TCGA-COAD,PDS,Up_ssGSEA,PDS1,PDS2,122,144,0.8896,0.9084,0.583,2.6462521551281254e-16,7.938756465384376e-16,2.381626939615313e-15,TRUE,TRUE
TCGA-COAD,PDS,Up_ssGSEA,PDS1,PDS3,122,92,0.8896,0.9108,0.511,1.6116050049167235e-10,2.417407507375085e-10,1.2432381466500438e-9,TRUE,TRUE
TCGA-COAD,PDS,Up_ssGSEA,PDS2,PDS3,144,92,0.9084,0.9108,-0.028,0.7183289911900238,0.7183289911900238,0.791627867842067,TRUE,FALSE
TCGA-COAD,PDS,Down_ssGSEA,PDS1,PDS2,122,144,1.1365,1.1411,0.203,0.00442385608386366,0.006521320069620453,0.009953676188693236,TRUE,TRUE
TCGA-COAD,PDS,Down_ssGSEA,PDS1,PDS3,122,92,1.1365,1.1466,0.389,1.1465184798728392e-6,3.4395554396185177e-6,3.869499869570833e-6,TRUE,TRUE
TCGA-COAD,PDS,Down_ssGSEA,PDS2,PDS3,144,92,1.1411,1.1466,0.21,0.006521320069620453,0.006521320069620453,0.013544280144596327,TRUE,TRUE
TCGA-COAD,PDS,Composite_ssGSEA,PDS1,PDS2,122,144,-0.2478,-0.2333,0.397,2.3651235627630132e-8,7.09537068828904e-8,1.1610606580836611e-7,TRUE,TRUE
TCGA-COAD,PDS,Composite_ssGSEA,PDS1,PDS3,122,92,-0.2478,-0.2332,0.219,0.00611148964982371,0.009167234474735565,0.013200817643619214,TRUE,TRUE
TCGA-COAD,PDS,Composite_ssGSEA,PDS2,PDS3,144,92,-0.2333,-0.2332,-0.166,0.03128683390994411,0.03128683390994411,0.05279653222303069,TRUE,TRUE
