"Dataset","Metric","Score","Model","HR","HR_lower","HR_upper","Raw_P","C_index","LRT_score_P","PH_P","Unadj_HR","Delta_logHR","Delta_logHR_pct","N","N_events","Is_Testable","FDR_P","Is_Significant"
"GSE39582","OS","Up_ssGSEA","Clinicopath",143019.147071356,52.6288735411723,388655030.07615,0.00325775505612687,0.62715171932131,0.003615084879823,0.543325362798901,789598.826225521,-1.70854648467443,-12.5820106027322,533,111,TRUE,0.00876566657713787,TRUE
"GSE39582","OS","Up_ssGSEA","CMS_adjusted",48687.2914603815,4.94508483464703,479355244.452007,0.0214098091886775,0.621355992368106,0.0219516159893863,0.562921479695815,9084577.68839051,-5.22891545486316,-32.6356664760846,515,106,TRUE,0.0329274239840795,TRUE
"GSE39582","OS","Up_ssGSEA","PDS_adjusted",36479.2230445335,1.52477154481199,872743014.165383,0.0411548814769407,0.60137973961305,0.0406914721179204,0.523814889549203,3412368.67248013,-4.53841908763979,-30.1698069410298,458,102,TRUE,0.122074416353761,FALSE
"GSE39582","OS","Down_ssGSEA","Clinicopath",0.00203733666896412,8.63275621703654e-09,480.812917491453,0.326288850468174,0.60868493488353,0.325786089011184,0.911018544020968,0.00184848546055342,0.0972767666222643,1.54569774897238,533,111,TRUE,0.325786089011184,FALSE
"GSE39582","OS","Down_ssGSEA","CMS_adjusted",0.000189566754881778,7.41794260176627e-10,48.4440989713933,0.17729163090442,0.613990327017793,0.174419780518064,0.243540800295248,0.000195084530063154,-0.0286917211426179,-0.335886917288717,515,106,TRUE,0.174419780518064,FALSE
"GSE39582","OS","Down_ssGSEA","PDS_adjusted",0.113277575227886,3.62462579876161e-07,35401.7483788078,0.735833075192801,0.596218683541677,0.735781751709596,0.454482147239387,0.0752727938580731,0.408722458420829,15.8013101723819,458,102,TRUE,0.735781751709596,FALSE
"GSE39582","OS","Composite_ssGSEA","Clinicopath",6166.85233035458,13.1880405524801,2883678.39885416,0.0053976876971901,0.628445832135081,0.00584377771809191,0.641522680216303,17712.6942634622,-1.05509302196002,-10.7860258346397,533,111,TRUE,0.00876566657713787,TRUE
"GSE39582","OS","Composite_ssGSEA","CMS_adjusted",4104.46895973672,5.02067147444506,3355460.62457798,0.0150347164278345,0.621489106802148,0.0154708591268232,0.295952122999688,136000.0120269,-3.50057860388717,-29.6146963507796,515,106,TRUE,0.0329274239840795,TRUE
"GSE39582","OS","Composite_ssGSEA","PDS_adjusted",444.249691781344,0.33243577457248,593671.932275117,0.0968998023137818,0.598345349862545,0.0967752030960268,0.360645353042914,20649.2759596986,-3.83904876205114,-38.6399644828356,458,102,TRUE,0.14516280464404,FALSE
"GSE39582","RFS","Up_ssGSEA","Clinicopath",17387.7536250793,22.7543343669992,13286874.1071563,0.00394550489121255,0.672591414944356,0.00442054028302697,0.193452229080629,122033.841350725,-1.94853225061292,-16.6369819073077,528,151,TRUE,0.0132616208490809,TRUE
"GSE39582","RFS","Up_ssGSEA","CMS_adjusted",5762.24987493256,2.15467253753025,15410009.1976014,0.0315062759943632,0.613177379914157,0.0327926002246505,0.110386761922242,190623.641523669,-3.49897301917397,-28.7790493222754,510,144,TRUE,0.0769329197861954,FALSE
"GSE39582","RFS","Up_ssGSEA","PDS_adjusted",74639.9572965571,11.0042908063098,506268266.014691,0.012674848165877,0.591359021198862,0.0129901628158961,0.0617246772203622,560658.702314362,-2.01643636220361,-15.2334858913596,454,130,TRUE,0.0389704884476883,TRUE
"GSE39582","RFS","Down_ssGSEA","Clinicopath",0.950987461390385,3.22229224822628e-05,28066.267180438,0.992364605935327,0.651732909379968,0.992364630513467,0.081229857162291,6.09023981844157,-1.85694186118243,-102.78157690769,528,151,TRUE,0.992364630513467,FALSE
"GSE39582","RFS","Down_ssGSEA","CMS_adjusted",0.0276818842408479,7.6781974324423e-07,998.003401014345,0.50284477279141,0.600335163049984,0.501829316030024,0.0684933986916049,0.286458505074196,-2.33681549100076,-186.921076027891,510,144,TRUE,0.501829316030024,FALSE
"GSE39582","RFS","Down_ssGSEA","PDS_adjusted",0.581770668084738,9.86239840980196e-06,34317.9312151271,0.923007160095505,0.572666638344874,0.923012963197374,0.0709489321938923,2.62458441855453,-1.50660151676584,-156.13703820925,454,130,TRUE,0.923012963197374,FALSE
